登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E19949,1,7,drawl,名詞,間延びした話し方,a slow way of speaking with long vowel sounds,You could hear a soft Texas drawl in his voice.,彼の声には穏やかなテキサスなまりの間延びが感じられた。,米南部の話し方を指すことが多い。動詞としても同じ形で使う。
E19950,1,7,egocentric,形容詞,自己中心的な,thinking only about yourself and your own needs,His egocentric behavior wore out the whole team.,彼の自己中心的な振る舞いはチーム全体を疲れさせた。,心理学では幼児が他者視点を持てない段階も指す専門用語。
E19951,1,7,electrolytic,形容詞,電解の、電気分解の,relating to the use of electricity to split a substance,The plant uses an electrolytic process to purify copper.,その工場は銅の精製に電気分解の工程を用いる。,名詞は electrolysis（電気分解）と electrolyte（電解質）。
E19952,1,7,empiricism,名詞,経験主義、経験論,the belief that knowledge comes from experience,British empiricism shaped modern scientific method.,イギリス経験論は近代の科学的方法を形づくった。,rationalism（合理主義）と対をなす。形容詞は empirical。
E19953,1,7,envelop,動詞,包む、覆う,to cover something completely on all sides,Thick fog began to envelop the harbor at dusk.,夕暮れに濃い霧が港を包み始めた。,名詞 envelope（封筒）と最後の e の有無で区別。発音も異なる。
E19954,1,7,feckless,形容詞,無責任な、頼りない,lacking the ability or will to do things properly,She was tired of supporting her feckless younger brother.,彼女は頼りない弟を支えるのにうんざりしていた。,スコットランド語の feck（効力）＋less。人柄への強い批判語。
E19955,1,7,in an instant,熟語,瞬時に、あっという間に,in a very short moment of time,The screen went black in an instant.,画面は瞬時に真っ暗になった。,instantly とほぼ同じだが、劇的な変化を語るときに好まれる。
E19956,1,7,in principle,熟語,原則として、理屈の上では,"in general, though details may not be settled",They agreed in principle to share the costs.,彼らは原則として費用を分担することに合意した。,実務では「大筋合意」の含み。on principle は「信念から」で別語。
E19957,1,7,a bull in a china shop,慣用句,がさつな人、乱暴者,a person who is clumsy in a delicate situation,Sending him to the negotiation was like a bull in a china shop.,彼を交渉に送るのは乱暴者を送り込むようなものだった。,china は「陶磁器」。繊細な場面での不器用さを笑う定番の比喩。
E19958,1,7,shake out,句動詞,振って払う、落ち着く,"to shake something to remove dust, or to settle in the end",Let's wait and see how the merger shakes out.,合併がどう落ち着くか様子を見よう。,布を「振ってごみを落とす」が原義。結果が定まる意味も頻出。
E19959,1,7,shake to the core,慣用句,根底から揺るがす,to shock or upset someone very deeply,The scandal shook the party to the core.,その醜聞は党を根底から揺るがした。,core は「芯」。shake me to the core のように受け手を目的語に置く。
E19960,1,7,at a premium,熟語,品薄で、割高で,"hard to get, and therefore valuable or expensive",Office space near the station is at a premium.,駅近くのオフィス用地は品薄で高騰している。,premium は「割増金」。時間や空間が「貴重だ」と言うときに使う。
E19961,1,7,from all walks of life,慣用句,あらゆる階層の,from many different jobs and social backgrounds,Volunteers came from all walks of life.,ボランティアはあらゆる階層から集まった。,walk of life は「職業・境遇」。people を修飾する形が定型。
E19962,1,7,chip away at,句動詞,少しずつ削る、徐々に減らす,to reduce something gradually by small amounts,We are slowly chipping away at the student loan.,私たちは学生ローンを少しずつ減らしている。,石をのみで削る様子から。地道な努力にも侵食にも使える。
E19963,1,7,slave away,句動詞,あくせく働く,to work very hard for long hours,He slaved away at the report until midnight.,彼は真夜中まで報告書に必死に取り組んだ。,slave away at ... の形が普通。報われない苦労の含みがある。
