登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E15101,1,5,schoolhouse,名詞,校舎、学校の建物,"a building used as a school, often a small one",The old schoolhouse still stands beside the church.,その古い校舎は今も教会のそばに立っている。,school＋house。特に昔の一部屋だけの田舎の学校を指すことが多い。
E15102,1,5,seashore,名詞,海岸、浜辺,the land along the edge of the sea,We walked along the seashore before breakfast.,私たちは朝食前に海岸を歩いた。,coast は地図上の海岸線、seashore は人が歩ける砂や岩の部分を指す。
E15103,1,5,seclusion,名詞,隠遁、人里離れていること,the state of being alone and away from others,The writer lived in seclusion for twenty years.,その作家は二十年間、世を離れて暮らした。,seclude（引きこもらせる）から。in seclusion（隠れて）の形でよく使う。
E15104,1,5,selenium,名詞,セレン,a chemical element used in glass and electronics,Brazil nuts contain a lot of selenium.,ブラジルナッツにはセレンが多く含まれている。,元素記号は Se。栄養素としても microgram 単位で話題になる。
E15105,1,5,siphon,動詞,吸い上げる、抜き取る,to move liquid through a tube using air pressure,Someone siphoned gas out of the parked truck.,誰かが止めてあるトラックからガソリンを抜き取った。,名詞では「サイフォン（管）」。siphon off で「金を横流しする」の比喩にも。
E15106,1,5,soulmate,名詞,ソウルメイト、心の友,a person you feel a deep connection with,She says her husband is her soulmate.,彼女は夫が自分のソウルメイトだと言う。,soul（魂）＋mate（仲間）。恋人だけでなく親友にも使える。
E15107,1,5,spiteful,形容詞,意地悪な、悪意のある,wanting to hurt or upset someone on purpose,He sent a spiteful message after losing the argument.,彼は口論に負けたあと意地の悪いメッセージを送った。,spite（悪意）＋ful。out of spite は「腹いせに」。
E15108,1,5,sporadically,副詞,散発的に、時々,"happening now and then, not regularly",Rain fell sporadically throughout the afternoon.,午後の間、雨が時折降った。,形容詞は sporadic。regularly（規則的に）の反対にあたる語。
E15109,1,5,stipulation,名詞,条件、規定,a condition that must be part of an agreement,"He agreed to help, with one stipulation about the deadline.",彼は締め切りについて一つ条件を付けて協力に同意した。,動詞 stipulate（明記する）の名詞。契約書でよく出る法律寄りの語。
E15110,1,5,subtropical,形容詞,亜熱帯の,relating to areas near the tropics,Okinawa has a warm subtropical climate.,沖縄は暖かい亜熱帯の気候だ。,sub-（下・準）＋tropical（熱帯の）。tropical より少し涼しい地域。
E15111,1,5,sulfide,名詞,硫化物,a chemical compound of sulfur and another element,The gas smells bad because of hydrogen sulfide.,そのガスは硫化水素のせいで悪臭がする。,sulfur（硫黄）から。英国つづりは sulphide。温泉のにおいの元。
E15112,1,5,summation,名詞,総括、合計,"a summary of the main points, or a total",The lawyer gave a powerful summation to the jury.,弁護士は陪審に力強い最終弁論をした。,sum（合計）から。法廷では「最終弁論」、数学では「総和」を指す。
E15113,1,5,tiredness,名詞,疲れ、疲労,the feeling of needing rest or sleep,Constant tiredness may be a sign of illness.,常に感じる疲れは病気のしるしかもしれない。,fatigue より日常的でやわらかい言い方。tired の名詞形。
E15114,1,5,underprivileged,形容詞,恵まれない、貧しい,having less money and fewer chances than others,The program helps underprivileged children learn to read.,その事業は恵まれない子どもたちが読み書きを学ぶのを助ける。,poor より遠回しで丁寧な言い方。privilege（特権）が under（不足）の形。
E15115,1,5,unrelenting,形容詞,容赦ない、絶え間ない,never stopping or becoming gentler,The unrelenting heat kept everyone indoors.,容赦ない暑さで皆が屋内にとどまった。,relent（手を緩める）の否定。pressure や rain と結びつくことが多い。
E15116,1,5,vassal,名詞,家臣、従属国,a person or state under the control of a lord,The king rewarded his most loyal vassal.,王は最も忠実な家臣に褒美を与えた。,中世の封建制度の用語。vassal state で「属国」。
E15117,1,5,vegetative,形容詞,植物の、植物状態の,"relating to plant growth, or without conscious activity",The patient remained in a vegetative state for months.,その患者は何か月も植物状態のままだった。,医学では「植物状態の」、生物学では「栄養成長の」を意味する。
E15118,1,5,vying,動詞,競っている,competing strongly for something,Three companies are vying for the same contract.,三社が同じ契約を取ろうと競っている。,vie（競う）の -ing 形。vie for something の形で使う。
E15119,1,5,weirdness,名詞,奇妙さ、変さ,the quality of being strange or unusual,There was a certain weirdness about the empty town.,その無人の町にはどこか奇妙さがあった。,weird（奇妙な）の名詞。会話で軽く使うくだけた語。
E15120,1,5,workmen,名詞,作業員たち、職人たち,"men who do physical work, especially building",Workmen are repairing the road outside our office.,作業員たちが会社の外で道路を直している。,workman の複数形。今は worker や crew を使うほうが一般的。
E15121,1,5,wrangler,名詞,牧童、言い争う人,a person who takes care of horses or cattle,The wrangler led the horses back to the barn.,牧童は馬を納屋へ連れ戻した。,wrangle（言い争う、家畜を扱う）から。ジーンズの商標名でも有名。
E15122,1,5,generalize,動詞,一般化する、大ざっぱに言う,to make a broad statement from a few examples,It is risky to generalize from one small study.,一つの小さな研究から一般化するのは危険だ。,英国つづりは generalise。名詞は generalization（一般化）。
E15123,1,5,remand,動詞,差し戻す、勾留する,"to send a case back to a lower court, or hold in custody",The judge remanded the case to the district court.,裁判官はその事件を地方裁判所に差し戻した。,法律用語。remand in custody は「身柄を拘束したままにする」。
E15124,1,5,accrue,動詞,たまる、生じる,to increase gradually over time,Interest accrues on the loan every month.,そのローンには毎月利息がたまっていく。,会計や金融でよく使う。accrued interest は「未払い利息」。
E15125,1,5,hurl,動詞,投げつける、浴びせる,to throw something with great force,He hurled the empty bottle into the river.,彼は空きびんを川に投げ込んだ。,throw より激しい。hurl insults で「悪口を浴びせる」。
E15126,1,5,hiccup,名詞,しゃっくり、小さな問題,"a sudden sound from the throat, or a minor problem",We had a small hiccup with the delivery schedule.,配送の予定に小さな問題が生じた。,しゃっくりの音から。ビジネスでは「一時的な支障」の意味で頻出。
E15127,1,5,abrasion,名詞,擦り傷、摩耗,a scraped place on the skin or a surface,The cyclist had minor abrasions on his knees.,その自転車乗りは膝に軽い擦り傷を負った。,abrade（こすり取る）から。abrasive は「研磨の、とげとげしい」。
E15128,1,5,admirably,副詞,見事に、立派に,in a way that deserves praise,She handled the difficult customer admirably.,彼女は難しい客に見事に対応した。,admire（称賛する）から。behave admirably のようにほめる文で使う。
E15129,1,5,alumnus,名詞,卒業生、同窓生,a man who graduated from a school or college,He is a proud alumnus of this university.,彼はこの大学の卒業生であることを誇りにしている。,ラテン語由来。複数は alumni、女性形は alumna（複数 alumnae）。
E15130,1,5,applicability,名詞,適用可能性、当てはまること,how well something can be used in a situation,We questioned the applicability of the old rule.,私たちはその古い規則が当てはまるのか疑問に思った。,apply の名詞の一つ。application（応用）と違い「使える度合い」を指す。
E15131,1,5,approachable,形容詞,親しみやすい、話しかけやすい,friendly and easy to talk to,The new manager is calm and approachable.,新しい部長は穏やかで話しかけやすい。,approach（近づく）＋able。人柄をほめる定番の形容詞。
E15132,1,5,babel,名詞,騒がしい話し声、混乱,a confused noise of many voices,A babel of voices filled the crowded hall.,混み合った広間はざわめく話し声で満ちていた。,旧約聖書のバベルの塔から。大文字の Babel は塔そのもの。
