登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E09101,1,3,node,名詞,節点、結節、ノード,a point where lines or parts of a network meet,Each node in the network stores a copy of the data.,そのネットワークの各ノードがデータの複製を保管している。,IT では通信網の一点、医学では「リンパ節」の意味でも使う。
E09102,1,3,sadness,名詞,悲しみ,the feeling of being unhappy,A deep sadness came over her after the news.,その知らせの後、深い悲しみが彼女を包んだ。,形容詞 sad に -ness が付いた名詞。数えられない名詞が普通。
E09103,1,3,shiny,形容詞,光る、つやのある,having a smooth surface that reflects light,He polished the car until it was shiny.,彼は車をぴかぴかになるまで磨いた。,動詞 shine（輝く）から。比較級は shinier。
E09104,1,3,socialism,名詞,社会主義,a political system in which the state owns industry,The party has moved away from traditional socialism.,その政党は伝統的な社会主義から距離を置いてきた。,capitalism（資本主義）と対で覚える。信奉者は socialist。
E09105,1,3,sour,形容詞,すっぱい、不機嫌な,having a sharp taste like lemon or vinegar,The milk had gone sour in the warm kitchen.,牛乳は暖かい台所で酸っぱくなっていた。,go sour で「腐る、関係が悪くなる」。sweet の対義語。
E09106,1,3,stressful,形容詞,ストレスの多い,causing worry and mental pressure,Moving house is one of the most stressful events in life.,引っ越しは人生で最もストレスの多い出来事の一つだ。,人が「ストレスを感じて」は stressed。物事が stressful。
E09107,1,3,thief,名詞,泥棒,a person who steals things from others,The thief broke a window to get into the shop.,泥棒は窓を割って店に入った。,複数形は thieves と不規則。動詞は steal、行為は theft。
E09108,1,3,tribunal,名詞,審判所、裁判所,a court or group with authority to judge disputes,The case was heard by an international tribunal.,その事件は国際法廷で審理された。,特定の問題を扱う特別な法廷。労働審判は employment tribunal。
E09109,1,3,villain,名詞,悪役、悪人,the bad character in a story or film,Every good story needs a convincing villain.,よい物語には説得力のある悪役が必要だ。,hero の対。発音は「ヴィラン」で、village とは無関係。
E09110,1,3,walk through,句動詞,順を追って説明する,to explain something step by step to someone,Let me walk you through the new booking system.,新しい予約システムを順を追って説明させてください。,walk 人 through 物 の語順が基本。名詞形は walkthrough。
E09111,1,3,walk away from,句動詞,見捨てる、手を引く,to leave a situation instead of dealing with it,He walked away from the deal at the last minute.,彼は土壇場でその取引から手を引いた。,責任や関係を放棄する含み。事故から無傷で去る意味もある。
E09112,1,3,sign away,句動詞,署名して手放す,to give up a right by signing a document,She signed away her share of the family business.,彼女は署名して家業の持ち分を手放した。,権利や財産を放棄する場面で使う。away が「離れる」を示す。
E09113,1,3,pick out,句動詞,選び出す、見分ける,to choose one thing from a group; to notice among others,I picked out a blue tie for the interview.,私は面接のために青いネクタイを選んだ。,「見分ける」の意味もあり pick out a face in a crowd と言う。
E09114,1,3,pick on,句動詞,いじめる、目の敵にする,to treat one person badly again and again,The older boys picked on him for his accent.,年上の少年たちはなまりを理由に彼をいじめた。,pick out（選ぶ）と混同しないこと。on は攻撃の対象を示す。
E09115,1,3,lose ground,熟語,後退する、勢いを失う,to become less strong or successful than before,The company is losing ground to cheaper rivals.,その会社は安価な競合に押されて後退している。,gain ground（勢いを増す）の対。選挙や競争の記事で頻出。
E09116,1,3,lose face,慣用句,面目を失う,to lose the respect of other people,He apologized quickly so as not to lose face.,彼は面目を失わないようにすぐ謝った。,save face（面目を保つ）と対で覚える。冠詞は付けない。
E09117,1,3,hand pick,熟語,厳選する、自ら選ぶ,to choose someone or something very carefully,The director hand picked every member of the team.,その部長はチームの全員を自ら厳選した。,handpicked と一語の形容詞でよく使う。手で摘む意味が語源。
E09118,1,3,cover for,句動詞,代わりを務める、かばう,to do someone's job while they are away; to hide their fault,Can you cover for me while I see the dentist?,歯医者に行く間、代わりを務めてもらえますか。,「かばって嘘をつく」意味もある。cover up は「もみ消す」。
E09119,1,3,regulate,動詞,規制する、調節する,to control something with rules or to keep it steady,New laws will regulate how the data is stored.,新しい法律がそのデータの保管方法を規制する。,名詞は regulation。体温を保つ意味でも regulate を使う。
E09120,1,3,bully,動詞,いじめる,to frighten or hurt someone weaker again and again,He was bullied at school for being small.,彼は体が小さいことで学校でいじめられた。,名詞で「いじめっ子」。bully someone into ~ing で「強要する」。
E09121,1,3,abusive,形容詞,口汚い、虐待的な,using cruel words or violence toward someone,She left after years of an abusive relationship.,彼女は何年もの虐待的な関係の後に去った。,動詞 abuse、名詞 abuse から。abusive language は「暴言」。
E09122,1,3,alley,名詞,路地、裏通り,a narrow street between or behind buildings,The cafe is down a quiet alley near the station.,そのカフェは駅近くの静かな路地の奥にある。,up one's alley は「得意分野だ」という言い回し。
E09123,1,3,backyard,名詞,裏庭,the area of ground behind a house,The children set up a tent in the backyard.,子どもたちは裏庭にテントを張った。,in one's own backyard は「身近な場所で」の意味でも使う。
E09124,1,3,billboard,名詞,大型看板,a large board outdoors used for advertisements,A huge billboard advertised the new phone.,巨大な看板が新しい電話を宣伝していた。,bill には「ちらし、貼り紙」の意味がある。英国では hoarding。
E09125,1,3,dynasty,名詞,王朝、名家,a series of rulers or leaders from the same family,The Ming dynasty ruled China for nearly 300 years.,明王朝は約300年にわたって中国を支配した。,スポーツで長く強い名門チームにも使う。形容詞は dynastic。
E09126,1,3,economist,名詞,経済学者,a person who studies how money and trade work,Economists disagree about the cause of the slowdown.,経済学者たちは景気減速の原因について意見が分かれている。,economy（経済）、economics（経済学）と合わせて覚える。
E09127,1,3,forgiveness,名詞,許し、寛容,the act of stopping being angry at someone's fault,He asked his brother for forgiveness.,彼は兄に許しを請うた。,動詞は forgive。ask for forgiveness の形で使うことが多い。
E09128,1,3,informal,形容詞,非公式の、くだけた,relaxed and not following official rules,We had an informal chat before the meeting.,会議の前にくだけた雑談をした。,formal に否定の in- が付いた語。服装なら「普段着の」。
E09129,1,3,marker,名詞,目印、マーカー,a sign or pen used to show or write something,A stone marker shows where the old gate stood.,石の目印が古い門のあった場所を示している。,太いペンの意味でも使う。動詞 mark（印を付ける）から。
E09130,1,3,marshal,名詞,元帥、警察署長,a high officer in the army or in law enforcement,The marshal ordered the crowd to move back.,警備責任者は群衆に下がるよう命じた。,動詞で「整列させる、結集させる」。martial（軍の）と別語。
E09131,1,3,ninja,名詞,忍者,a trained fighter in old Japan who moved in secret,The film tells the story of a young ninja.,その映画は若い忍者の物語を描いている。,日本語からの借用語。「達人」の意味で口語的にも使う。
E09132,1,3,optimistic,形容詞,楽観的な,expecting good things to happen,She is optimistic about next year's sales.,彼女は来年の売上について楽観的だ。,pessimistic（悲観的な）の対。名詞は optimism。
E09133,1,3,problematic,形容詞,問題のある,causing difficulty or raising doubts,The wording of the contract is problematic.,その契約書の言い回しには問題がある。,problem の形容詞。近年は「不適切だ」の意味でもよく使う。
E09134,1,3,processor,名詞,処理装置、加工業者,a device or company that handles or treats something,The new laptop has a much faster processor.,その新しいノート型パソコンははるかに速い処理装置を備える。,食品の加工業者、料理器具（food processor）にも使う。
E09135,1,3,promotional,形容詞,販売促進の,intended to advertise and increase sales,They handed out promotional samples at the station.,彼らは駅で販売促進用の試供品を配った。,promotion（宣伝、昇進）の形容詞。広告文でよく見る。
E09136,1,3,prospective,形容詞,見込みのある、将来の,likely to become something in the future,The agent showed the house to prospective buyers.,仲介業者は購入見込み客に家を見せた。,perspective（視点）と混同しやすい。名詞は prospect。
E09137,1,3,psychiatric,形容詞,精神医学の,relating to the medical study of mental illness,He received psychiatric care for several months.,彼は数か月間、精神科の治療を受けた。,psych- は「心」。医師は psychiatrist、心理学者は psychologist。
E09138,1,3,roast,動詞,焼く、あぶる,to cook meat or vegetables in an oven or over fire,We roasted a chicken for Sunday dinner.,日曜の夕食に鶏を一羽ローストした。,名詞で「焼き肉」。人を公然とからかう意味でも使う。
E09139,1,3,rubbish,名詞,ごみ、くだらないこと,waste material; nonsense,Please put the rubbish in the bin outside.,ごみは外のバケツに入れてください。,主に英国語。米国では trash や garbage を使う。
E09140,1,3,saga,名詞,長編物語、長い経緯,a long story or series of events over many years,The takeover saga finally came to an end.,その買収を巡る長い経緯はついに終わった。,北欧の英雄物語が語源。新聞で「騒動の顛末」の意味で使う。
E09141,1,3,salon,名詞,美容室、サロン,a shop for hair or beauty treatment,She books the same salon every six weeks.,彼女は6週間ごとに同じ美容室を予約する。,saloon（酒場）とつづりが近いので注意。フランス語由来。
E09142,1,3,seventeen,名詞,17,the number 17,There were seventeen people at the workshop.,その講習会には17人が参加していた。,序数は seventeenth。-teen の語は後ろにアクセントが来やすい。
E09143,1,3,sodium,名詞,ナトリウム,a soft silver metal found in salt,The label shows the sodium content per serving.,そのラベルは一食分のナトリウム量を示している。,元素記号は Na。低塩の表示は low sodium。
E09144,1,3,systematic,形容詞,体系的な、組織的な,"done in a careful, planned and orderly way",They took a systematic approach to the problem.,彼らはその問題に体系的な取り組み方をした。,system の形容詞。副詞 systematically も頻出。
E09145,1,3,unacceptable,形容詞,受け入れられない,so bad that it cannot be allowed,The delay in the response was unacceptable.,対応の遅れは受け入れがたいものだった。,un- + acceptable。苦情や抗議の場面でよく使う強い語。
