登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E08201,1,3,lease,名詞,賃貸借契約、借用期間,a legal agreement to rent a building or land for a period,We signed a two-year lease on the office.,私たちは事務所の2年間の賃貸契約を結んだ。,動詞で「賃貸する・賃借する」。rent より契約書に基づく長期の借用を指す。
E08202,1,3,lens,名詞,レンズ、水晶体,a curved piece of glass that makes things look bigger or clearer,He wiped the camera lens with a soft cloth.,彼は柔らかい布でカメラのレンズを拭いた。,複数形は lenses。contact lens（コンタクトレンズ）。比喩で「視点」の意味も。
E08203,1,3,magnetic,形容詞,磁気の、人を引きつける,having the power of a magnet; strongly attractive,The card stores data on a magnetic strip.,そのカードは磁気ストライプにデータを保存する。,名詞は magnet（磁石）。a magnetic personality で「魅力的な人柄」。
E08204,1,3,mysterious,形容詞,不思議な、謎めいた,strange and difficult to explain or understand,The painting vanished under mysterious circumstances.,その絵は不可解な状況で消えた。,名詞は mystery。副詞 mysteriously も報道文でよく使う。
E08205,1,3,notion,名詞,考え、概念,an idea or belief about something,I have no notion of what he really wants.,彼が本当に何を望んでいるのか見当もつかない。,idea よりやや漠然とした「思いつき・通念」。have no notion で「まったく知らない」。
E08206,1,3,partial,形容詞,部分的な、不公平な,not complete; unfairly favoring one side,We received only a partial refund.,私たちは一部の払い戻ししか受け取れなかった。,反対は impartial（公平な）。be partial to で「～が大好きだ」。
E08207,1,3,propaganda,名詞,宣伝、プロパガンダ,information spread to make people support an idea or government,The regime used the radio for propaganda.,その政権はラジオを宣伝に利用した。,不可算名詞。偏った政治宣伝を指し、悪い意味合いが強い。
E08208,1,3,rat,名詞,ネズミ、裏切り者,a small animal like a large mouse with a long tail,A rat ran across the warehouse floor.,ネズミが倉庫の床を走り抜けた。,mouse より大きい種。the rat race は「激しい出世競争」。
E08209,1,3,reflection,名詞,反射、映った姿、熟考,an image seen in a mirror or water; careful thought,She saw her reflection in the shop window.,彼女は店の窓に映った自分の姿を見た。,動詞は reflect。on reflection で「よく考えてみると」。
E08210,1,3,revolutionary,形容詞,革命的な、画期的な,completely new and causing great change,The device was a revolutionary step in medicine.,その装置は医療における画期的な一歩だった。,名詞では「革命家」。名詞 revolution は「革命」と「回転」の両方。
E08211,1,3,treasure,名詞,宝物、財宝,a collection of valuable things such as gold or jewels,Divers found treasure in the sunken ship.,潜水士たちは沈没船の中から財宝を見つけた。,動詞では「大切にする」。national treasure は「国宝」。
E08212,1,3,trophy,名詞,トロフィー、優勝杯,a prize given to the winner of a competition,The team lifted the trophy after the final.,そのチームは決勝の後にトロフィーを掲げた。,複数形は trophies。勝利の象徴として比喩的にも使う。
E08213,1,3,tweet,名詞,短い投稿、さえずり,a short message posted on a social media service,His tweet was shared thousands of times.,彼の投稿は何千回も共有された。,元は「小鳥のさえずり」。動詞で「投稿する」の使い方も一般的。
E08214,1,3,underlying,形容詞,根底にある、潜在的な,forming the hidden basis or cause of something,We must address the underlying causes of poverty.,貧困の根底にある原因に取り組まなければならない。,under（下に）+ lying（横たわる）。underlying problem の形が多い。
E08215,1,3,unfair,形容詞,不公平な、不当な,not treating people in an equal or reasonable way,The workers said the new rule was unfair.,労働者たちは新しい規則は不公平だと言った。,un + fair。前置詞は to を取り、unfair to students のように使う。
E08216,1,3,hit it off,慣用句,意気投合する、仲良くなる,to like each other as soon as you meet,The two managers hit it off right away.,その2人の部長はすぐに意気投合した。,it は変えられない決まった形。with を付けて相手を示す。
E08217,1,3,go without saying,慣用句,言うまでもない,to be so obvious that it does not need to be said,It goes without saying that safety comes first.,安全が第一なのは言うまでもない。,It goes without saying that ... の形で使う定型表現。
E08218,1,3,politician,名詞,政治家,"a person who works in politics, especially an elected one",The politician promised to cut taxes.,その政治家は減税を約束した。,statesman は敬意を込めた「政治家」で、politician はやや冷めた響き。
E08219,1,3,warrior,名詞,戦士、武人,"a brave and experienced fighter, especially in the past",The museum displays armor worn by ancient warriors.,その博物館は古代の戦士が着けた鎧を展示している。,soldier は近代の軍人、warrior は古代や比喩的な「戦う人」。
E08220,1,3,creature,名詞,生き物、生物,"any living thing that can move, such as an animal",Strange creatures live at the bottom of the sea.,海の底には奇妙な生き物がすんでいる。,create（創造する）から派生。creature of habit は「習慣の生き物」。
E08221,1,3,acceptance,名詞,受け入れ、承諾,the act of agreeing to take or believe something,Her acceptance of the offer surprised us.,彼女がその申し出を受けたことに私たちは驚いた。,動詞は accept。acceptance letter は「合格・採用の通知」。
E08222,1,3,ash,名詞,灰,the grey powder left after something has burned,Volcanic ash covered the whole village.,火山灰が村全体を覆った。,通常は不可算。ashtray は「灰皿」。木の「トネリコ」の意味もある。
E08223,1,3,aunt,名詞,おば,"the sister of your father or mother, or your uncle's wife",My aunt lives near the station.,私のおばは駅の近くに住んでいる。,対になる語は uncle。発音は英米で異なるが t は読む。
E08224,1,3,bubble,名詞,泡、バブル,a ball of air or gas in a liquid; a period of unreal high prices,Bubbles rose slowly to the surface.,泡がゆっくりと水面へ上がっていった。,経済の「バブル」も同じ語。動詞では「泡立つ」。
E08225,1,3,casino,名詞,カジノ、賭博場,a place where people play games of chance for money,The hotel has a casino on the ground floor.,そのホテルは1階にカジノがある。,イタリア語由来で複数形は casinos。gamble（賭ける）と一緒に覚えたい。
E08226,1,3,counsel,名詞,助言、弁護人,advice; a lawyer who represents someone in court,She sought legal counsel before replying.,彼女は返答する前に法律の助言を求めた。,council（評議会）と発音が同じなので混同しやすい。動詞で「助言する」。
E08227,1,3,gentleman,名詞,紳士、男の方,a polite word for a man; a man who behaves politely,A gentleman is waiting for you at the desk.,受付で男性の方がお待ちです。,複数形は gentlemen。Ladies and gentlemen は呼びかけの定型。
E08228,1,3,hammer,名詞,ハンマー、金づち,a tool with a heavy metal head used for hitting nails,He drove the nail in with a hammer.,彼はハンマーで釘を打ち込んだ。,動詞で「打ち込む・繰り返し強調する」。hammer out は「まとめ上げる」。
