登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E17501,1,6,fire off,句動詞,急いで送る、撃ち放つ,to send or shoot something quickly,She fired off an angry email to the supplier.,彼女は業者に怒りのメールを急いで送った。,手紙やメールを勢いよく送る意味で最もよく使う。銃弾なら「撃ち放つ」。
E17502,1,6,light a fire under someone,慣用句,尻をたたく、発破をかける,to make someone start working much harder,The new deadline lit a fire under the whole team.,新しい締め切りがチーム全体に発破をかけた。,「下から火をあてる」比喩。build a fire under とも言う。命令調の場面で使う。
E17503,1,6,under fire,慣用句,激しく非難されて、砲火を浴びて,being strongly criticized or being shot at,The reporters kept working under fire near the border.,記者たちは国境近くで砲火を浴びながら取材を続けた。,come under fire の形が定番。もとは戦場の「砲火の中で」の意。
E17504,1,6,on the market,熟語,売りに出て、市販されて,offered for sale to the public,Their house has been on the market for a year.,彼らの家は一年間売りに出ている。,put on the market で「売りに出す」。in the market for は「買いたい」で別物。
E17505,1,6,behind the times,慣用句,時代遅れで,"not modern, using old ideas or methods",Our filing system is badly behind the times.,うちの書類整理の仕組みはひどく時代遅れだ。,times は複数形で固定。人にも制度にも使える。反対は ahead of the times。
E17506,1,6,a game plan,熟語,作戦、行動計画,a plan for how to achieve something,We need a clear game plan before the negotiation.,交渉の前に明確な作戦が必要だ。,アメフト由来のビジネス語。strategy よりくだけた響きがある。
E17507,1,6,top the list,熟語,首位に立つ、最優先である,to be in first place on a list,Safety concerns top the list of complaints.,安全への懸念が苦情の第一位を占める。,top は動詞で「首位を占める」。優先順位の話でもよく使う。
E17508,1,6,the front line,熟語,最前線、第一線,the place where the most important work happens,Nurses work on the front line of the hospital.,看護師は病院の最前線で働く。,もとは戦場の前線。frontline と一語で形容詞にも使う。
E17509,1,6,type up,句動詞,清書する、タイプで仕上げる,to write something in final form on a computer,She typed up the handwritten minutes before lunch.,彼女は昼までに手書きの議事録を清書した。,手書きメモを正式な文書に仕上げる意味。up が「完成」を表す。
E17510,1,6,put the word out,慣用句,知らせを広める、触れ回る,to tell many people about something,They put the word out that the shop was closing.,彼らは店を閉めることを触れ回った。,word は「知らせ」の意の不可算名詞。spread the word とほぼ同じ。
E17511,1,6,by chance,熟語,偶然に,"without planning it, by accident",I met my old boss by chance at the airport.,空港で偶然、昔の上司に会った。,by accident とほぼ同義。by any chance は「ひょっとして」で別の使い方。
