登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E06701,1,2,clench,動詞,固く握る、食いしばる,to close your hand or teeth tightly,He clenched his fists.,彼はこぶしを握りしめた。,clench one's teeth は歯を食いしばる。
E06702,1,2,confound,動詞,当惑させる、覆す,to confuse someone; to prove wrong,The result confounded our expectations.,その結果は予想を覆した。,confuse と同語源。
E06703,1,2,deplete,動詞,使い果たす、枯渇させる,to reduce a supply greatly,The task depleted the memory.,その処理は記憶領域を使い果たした。,名詞は depletion。
E06704,1,2,goad,動詞,駆り立てる、あおる,to provoke someone into doing something,He was goaded into replying.,彼は挑発されて返答した。,名詞では家畜を追う棒。
E06705,1,2,haggle,動詞,値切る、交渉する,to argue about a price,They haggled over the fee.,彼らは料金をめぐって交渉した。,haggle over の形で使う。
E06706,1,2,premonition,名詞,予感、虫の知らせ,a feeling that something bad will happen,She had a premonition of trouble.,彼女は問題の予感がした。,pre（前）＋ monition（警告）。
E06707,1,2,recur,動詞,再発する、繰り返し起こる,to happen again,The fault recurred twice.,その不具合は2度再発した。,名詞は recurrence。
E06708,1,2,tortuous,形容詞,曲がりくねった、回りくどい,full of twists; very complicated,The process is tortuous.,その手順は回りくどい。,torturous（苦痛の）とは別語。
E06709,1,2,unobtrusive,形容詞,控えめな、目立たない,not attracting attention,The change is unobtrusive.,その変更は目立たない。,obtrusive の反対。
E06710,1,2,unwitting,形容詞,知らずに、意図しない,not aware of what you are doing,He was an unwitting participant.,彼は知らずに関わっていた。,副詞は unwittingly。
E06711,1,2,clatter,名詞,ガタガタいう音,a loud noise of hard things hitting,The clatter of dishes filled the room.,食器の音が部屋に響いた。,動詞でも同じ形。
E06712,1,2,handicraft,名詞,手工芸、手仕事,skilled work done by hand,The shop sells local handicraft.,その店は地元の手工芸品を売っている。,handmade と関連する語。
E06713,1,2,vignette,名詞,小品、短い描写,a short description or scene,The book opens with a vignette.,その本は短い情景描写で始まる。,フランス語由来。
E06714,1,2,abhor,動詞,忌み嫌う、憎む,to hate something very much,He abhors waste.,彼はむだを忌み嫌う。,形容詞は abhorrent。
E06715,1,2,agitate,動詞,動揺させる、かき混ぜる,to make someone anxious; to stir,The news agitated the team.,その知らせはチームを動揺させた。,名詞は agitation。
E06716,1,2,append,動詞,追加する、末尾に付ける,to add something to the end,Append the log to the report.,報告書の末尾に記録を追加してください。,名詞は appendix。
E06717,1,2,clairvoyant,形容詞,予知能力のある、千里眼の,able to see the future,No one is clairvoyant about demand.,需要を見通せる人などいない。,フランス語由来。
E06718,1,2,fastidious,形容詞,細かいことにうるさい、几帳面な,very careful about detail and cleanliness,He is fastidious about naming.,彼は命名に細かい。,よい意味にも悪い意味にも使う。
E06719,1,2,insipid,形容詞,味気ない、面白みのない,without flavour or interest,The design is insipid.,その意匠は面白みがない。,bland とほぼ同じ意味。
