登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E07601,1,3,hunt,動詞,狩る、探し求める,"to chase and kill animals, or to search hard for something",Police are hunting for the missing driver.,警察は行方不明の運転手を捜している。,job hunt（就職活動）のように「探し回る」の意味でもよく使う。
E07602,1,3,inch,名詞,インチ、少し,a unit of length equal to about 2.54 centimeters,The shelf is two inches too wide.,その棚は2インチ幅が広すぎる。,1インチ＝約2.54cm。inch by inch（少しずつ）という言い方もある。
E07603,1,3,junior,形容詞,年下の、下級の,lower in rank or younger in age,She joined as a junior analyst last spring.,彼女は昨春、下級アナリストとして入社した。,senior（上級の）の反対。米国では高校・大学の3年生も junior。
E07604,1,3,monster,名詞,怪物、化け物,an imaginary creature that is large and frightening,The film is about a monster living in the lake.,その映画は湖にすむ怪物の話だ。,形容詞的に a monster hit（大ヒット）と「巨大な」の意でも使う。
E07605,1,3,pride,名詞,誇り、自尊心,a feeling of pleasure in what you or others have done,He takes great pride in his work.,彼は自分の仕事に大きな誇りを持っている。,動詞 proud の名詞形。take pride in ~ の形が定番。
E07606,1,3,tone,名詞,口調、音色、色調,the quality of a sound or the way someone speaks,I did not like his tone at the meeting.,会議での彼の口調が気に入らなかった。,skin tone（肌の色合い）のように色の調子にも使う。
E07607,1,3,universal,形容詞,普遍的な、全世界の,affecting or shared by everyone in the world or a group,Music has a universal appeal.,音楽には万人に通じる魅力がある。,universe（宇宙）と同語源。universal health care（国民皆保険）。
E07608,1,3,auto,名詞,自動車,a car,The auto industry is shifting to electric models.,自動車産業は電気自動車へと移行している。,米国語で automobile の短縮形。auto- は「自動の」を表す接頭辞。
E07609,1,3,guitar,名詞,ギター,a musical instrument with strings that you play with your fingers,He learned to play the guitar at fifteen.,彼は15歳でギターを弾けるようになった。,楽器名には the を付けて play the guitar とするのが標準。
E07610,1,3,partnership,名詞,提携、共同経営,a relationship in which two or more people or groups work together,The two firms formed a partnership last year.,その2社は昨年、提携関係を結んだ。,in partnership with ~（～と提携して）の形で使うことが多い。
E07611,1,3,rush,動詞,急ぐ、急がせる,to move or do something very quickly,Do not rush your decision on this offer.,この申し出について結論を急がないでください。,名詞では rush hour（通勤ラッシュ）や「殺到」の意味。
E07612,1,3,soccer,名詞,サッカー,a game played by two teams who kick a ball into a goal,My son plays soccer every Saturday morning.,息子は毎週土曜の朝にサッカーをしている。,米国語。イギリスでは football と呼ぶのが普通。
E07613,1,3,trick,名詞,策略、いたずら、こつ,"a clever action to deceive someone, or a skillful act",That was a clever trick to save time.,それは時間を節約する巧みな手だった。,play a trick on ~（～にいたずらをする）。手品も magic trick。
E07614,1,3,show off,句動詞,見せびらかす、自慢する,to try to make people admire your abilities or possessions,He is always showing off his new car.,彼はいつも新しい車を見せびらかしている。,少し否定的な響き。名詞 a show-off は「目立ちたがり屋」。
