登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E03701,1,10,stakeholder,名詞,利害関係者,a person affected by a project,List the stakeholders first.,まず関係者を並べる。,stake ＋ holder。
E03702,1,10,throughput,名詞,処理量,the amount processed per time,Throughput doubled after tuning.,調整で処理量が倍になった。,through ＋ put。
E03703,1,10,timeout,名詞,時間切れ,a limit on waiting time,Raise the timeout to 60 seconds.,時間切れの上限を60秒にする。,time ＋ out。
E03704,1,10,timestamp,名詞,時刻印,a record of the time,Every row has a timestamp.,各行に時刻印がある。,time ＋ stamp。
E03705,1,10,toolkit,名詞,道具一式,a set of tools,The toolkit includes a linter.,その一式には検査器が入っている。,tool ＋ kit。
E03706,1,10,turnaround,名詞,折り返し時間、転換,the time to complete,The turnaround is two days.,折り返しは2日だ。,turn ＋ around。
E03707,1,10,uptime,名詞,稼働時間,the time a system is working,Uptime was 99.9% last month.,先月の稼働率は99.9%だった。,反対は downtime。
E03708,1,10,walkthrough,名詞,手順の通し説明,a step-by-step explanation,Do a walkthrough for new members.,新しい人に通しで説明する。,walk ＋ through。
E03709,1,10,whitelist,名詞,許可一覧,a list of allowed items,Add the host to the whitelist.,その宛先を許可一覧に足す。,反対は blacklist。
E03710,1,10,workaround,名詞,回避策,a temporary fix,The workaround is documented.,その回避策は書き残してある。,work ＋ around。
E03711,1,10,workbook,名詞,作業帳、ブック,a book of exercises or an Excel file,The workbook has five sheets.,そのブックには5枚のシートがある。,Excel の「ブック」。
E03712,1,10,worksheet,名詞,作業用紙、シート,a sheet for work,Rename the worksheet.,そのシートの名前を変える。,Excel の「シート」。
E03713,1,10,yardstick,名詞,尺度,a standard for judging,Use time as the yardstick.,時間を尺度に使う。,yard ＋ stick（物差し）。
E03714,1,10,agree to,熟語,（案に）同意する,to accept a proposal,They agreed to the new schedule.,彼らは新しい日程に同意した。,agree with は人の意見に同意。
E03715,1,10,ask for,熟語,求める,to request,Ask for a written answer.,書面での回答を求める。,ask 人 for 物 の形も。
E03716,1,10,break into,熟語,侵入する、割り込む,to enter by force,Someone broke into the account.,誰かがその利用者情報に侵入した。,名詞は break-in。
E03717,1,10,bring back,熟語,戻す、思い出させる,to return something,Bring back the old layout.,古い配置に戻す。,「思い出させる」の意味も。
E03718,1,10,call for,熟語,求める、必要とする,to require,This calls for a rollback.,これは差し戻しが要る。,「呼びに行く」の意味も。
E03719,1,10,call on,熟語,訪ねる、指名する,to visit or ask to speak,The chair called on her.,議長は彼女を指名した。,call at は場所を訪ねる。
E03720,1,10,come along,熟語,一緒に来る、進む,to accompany or progress,How is the fix coming along?,その修正はどう進んでいますか。,進み具合を尋ねる言い方。
E03721,1,10,count on,熟語,頼りにする,to rely on,You can count on the backup.,控えは当てにしていい。,rely on と同じ。
E03722,1,10,draw up,熟語,作成する,to prepare a document,Draw up a short plan.,短い計画を作る。,契約書などによく使う。
E03723,1,10,drop off,熟語,届ける、落ちる,to deliver or decrease,Usage dropped off in August.,8月に利用が落ちた。,「送り届ける」の意味も。
E03724,1,10,fall behind,熟語,遅れる,to fail to keep up,We fell behind by a week.,1週間遅れた。,反対は catch up。
E03725,1,10,fall through,熟語,だめになる,to fail to happen,The deal fell through.,その取引は流れた。,計画が「白紙になる」。
E03726,1,10,follow up,熟語,追って確認する,to check again later,Follow up in two days.,2日後に追って確認する。,名詞は follow-up。
E03727,1,10,get around to,熟語,やっと～する,to finally do,I never got around to it.,結局それに手が回らなかった。,4語で1つの動詞。
E03728,1,10,hand in,熟語,提出する,to submit,Hand in the form by noon.,正午までに用紙を出す。,turn in と同じ。
E03729,1,10,keep on,熟語,し続ける,to continue,It keeps on failing.,それは失敗し続けている。,あとは動名詞。
E03730,1,10,kick in,熟語,効き始める,to start to take effect,The cache kicks in after a minute.,一時保存は1分後から効き始める。,薬などにもよく使う。
E03731,1,10,lead to,熟語,～につながる,to result in,That leads to a data loss.,それは資料の消失につながる。,result in と同じ。
E03732,1,10,live up to,熟語,期待に応える,to meet expectations,It lived up to the promise.,それは約束に応えた。,4語で1つの動詞。
E03733,1,10,miss out on,熟語,取り逃がす,to lose a chance,Do not miss out on the trial.,試用の機会を逃さないこと。,4語で1つの動詞。
E03734,1,10,move on,熟語,先へ進む,to go to the next thing,Let's move on to the next item.,次の項目に移りましょう。,会議でよく使う。
E03735,1,10,opt for,熟語,選ぶ,to choose,We opted for the simpler design.,単純な設計のほうを選んだ。,opt out は「参加しない」。
