登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E04001,1,2,well,名詞,井戸、泉,a deep hole in the ground for water,They dug a well behind the farmhouse.,彼らは農家の裏に井戸を掘った。,「よい・うまく」の well と同じつづりだが別の語。oil well（油井）にも使う。
E04002,1,2,post,名詞,柱、杭,a strong upright piece of wood or metal fixed in the ground,The gate hangs on two wooden posts.,門は2本の木の柱に取り付けられている。,「郵便」「地位」「投稿する」も同じ post。goalpost（ゴールポスト）。
E04003,1,2,federal,形容詞,連邦の、国家の,relating to the central government of a country made up of states,Federal law takes priority over state law.,連邦法は州法に優先する。,アメリカの文書で頻出。federal government（連邦政府）。
E04004,1,2,get by,熟語,何とかやっていく、やりくりする,to manage to live or continue with what you have,We can get by on a small budget for a while.,しばらくは少ない予算で何とかやっていける。,「十分ではないが足りる」というニュアンス。
E04005,1,2,get on with,熟語,（仕事などを）続ける、はかどらせる,"to continue doing something, especially work",Let me get on with the report before lunch.,昼食前に報告書を進めさせてください。,イギリス英語では「人とうまくやる」の意味でも使う。
E04006,1,2,seriously,副詞,真剣に、本気で、深刻に,in a serious way; to a serious degree,We are seriously considering the proposal.,その提案を真剣に検討しています。,take it seriously（本気に受け取る）の形が多い。
E04007,1,2,get over,熟語,（病気・つらさから）立ち直る、克服する,to recover from an illness or an unpleasant experience,It took her a month to get over the flu.,彼女がインフルエンザから回復するのに1か月かかった。,「柵などを乗り越える」の物理的な意味もある。
E04008,1,2,make do with,熟語,～で間に合わせる,to manage with something that is not what you really want,We had to make do with an old laptop.,古いノートパソコンで間に合わせるしかなかった。,make do の do は「済ませる」。with の後ろは代わりのもの。
E04009,1,2,make out,熟語,（かろうじて）見分ける、聞き取る,"to manage to see, hear or understand something with difficulty",I could barely make out his signature.,彼の署名はかろうじて読み取れる程度だった。,「小切手を作成する」「うまくやる」の意味もある。
E04010,1,2,go about,熟語,（物事に）取りかかる、～のやり方で進める,to start to deal with a task in a particular way,How should we go about solving this problem?,この問題はどう解決していけばよいでしょうか。,go about doing の形で使うことが多い。
E04011,1,2,go back on,熟語,（約束などを）破る、ひるがえす,to fail to keep a promise or agreement,He went back on his word at the last minute.,彼は土壇場で約束を破った。,go back on one's word がよくある形。
E04012,1,2,go for,熟語,～を選ぶ、～を目指す,to choose something; to try to get something,I think we should go for the cheaper option.,安いほうの案を選ぶべきだと思う。,Go for it!（やってみなよ）は励ましの決まり文句。
E04013,1,2,previously,副詞,以前に、前もって,before the present time or the time mentioned,She previously worked for a trading company.,彼女は以前、商社に勤めていた。,before より書き言葉向き。previously mentioned（前述の）。
E04014,1,2,even out,熟語,ならす、平均化する,to become or make something more equal or level,Costs should even out over the year.,費用は1年を通じてならされるはずだ。,でこぼこを平らにする、が元の意味。
E04015,1,2,net,名詞,網、ネット,material made of threads or wires with spaces between them,The fisherman pulled the net out of the water.,漁師は網を水から引き上げた。,「正味の」（net profit 純利益）という形容詞もある。
E04016,1,2,bay,名詞,湾、入り江,a part of the sea partly surrounded by land,The town sits at the head of a wide bay.,町は広い湾の奥にある。,gulf は bay より大きい湾を指すことが多い。
E04017,1,2,take after,熟語,（親などに）似ている,to look or behave like an older member of your family,She takes after her mother in temperament.,彼女は気質が母親に似ている。,resemble より口語的。血縁者にだけ使う。
E04018,1,2,path,名詞,小道、進路,a way or track made for walking; a course of action,A narrow path leads down to the river.,細い小道が川へ下っている。,career path（経歴の道筋）のように比喩でも使う。
E04019,1,2,attorney,名詞,弁護士、代理人,"a lawyer, especially one who represents someone in court",Please consult your attorney before signing.,署名の前に弁護士に相談してください。,アメリカ英語。イギリスでは solicitor / barrister。
E04020,1,2,back down,熟語,引き下がる、主張を取り下げる,to stop demanding something or arguing for it,The company backed down after the protest.,抗議を受けて会社は主張を取り下げた。,相手に押されて譲るときに使う。
E04021,1,2,get down to,熟語,（本腰を入れて）取りかかる,to start doing something seriously,Let's get down to business.,さっそく本題に入りましょう。,get down to business は会議の決まり文句。
E04022,1,2,go through with,熟語,（つらいことを）やり通す,"to do something you have planned or promised, even if it is difficult",He decided to go through with the operation.,彼は手術を受け通すことに決めた。,go through（経験する）とは意味が違うので注意。
E04023,1,2,see through,熟語,見抜く、最後までやり遂げる,to realize the truth about someone; to finish something,I saw through his excuse at once.,彼の言い訳はすぐに見抜いた。,see a project through なら「やり遂げる」。
E04024,1,2,think through,熟語,じっくり考え抜く,to consider all the details and results of something,We need to think this plan through carefully.,この計画は慎重に考え抜く必要がある。,think over（考え直す）より「最後まで筋を通す」感じ。
E04025,1,2,studio,名詞,仕事場、スタジオ、ワンルーム,a room where an artist works or where recordings are made,The interview was recorded in a small studio.,そのインタビューは小さなスタジオで収録された。,studio apartment はワンルームの部屋。
E04026,1,2,specifically,副詞,具体的には、とりわけ,in a way that is exact and clear; particularly,The rule applies specifically to part-time staff.,その規定はとりわけ短時間勤務者に適用される。,文頭で「具体的に言うと」と話を絞るときにも使う。
