登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E02201,1,5,stable,形容詞,安定した,not changing or falling,The build is stable now.,いまの版は安定している。,名詞は stability。
E02202,1,5,admire,動詞,感心する,to respect greatly,I admire her patience.,彼女の忍耐には感心する。,名詞は admiration。
E02203,1,5,bake,動詞,焼く,to cook in an oven,She bakes bread on Sundays.,彼女は日曜にパンを焼く。,baker は「パン屋」。
E02204,1,5,beat,動詞,打つ、負かす,to hit or win against,We beat last year's record.,昨年の記録を破った。,過去形は beat、過去分詞は beaten。
E02205,1,5,blow,動詞,吹く,to move air,The wind blew all night.,風が一晩中吹いた。,過去形は blew、過去分詞は blown。
E02206,1,5,boil,動詞,沸かす、ゆでる,to heat until bubbling,Boil the water for two minutes.,湯を2分沸かす。,boiling point は「沸点」。
E02207,1,5,breathe,動詞,呼吸する,to take air in and out,Breathe slowly and relax.,ゆっくり息をして落ち着く。,名詞は breath（発音が違う）。
E02208,1,5,brush,動詞,ブラシをかける,to clean with a brush,Brush the dust off the keyboard.,鍵盤のほこりを払う。,名詞でも「ブラシ、筆」。
E02209,1,5,carve,動詞,彫る、切り分ける,to cut a shape,The name is carved in metal.,その名前は金属に彫られている。,彫刻の carving。
E02210,1,5,chase,動詞,追いかける,to run after,Don't chase every warning.,警告のすべてを追わないこと。,名詞でも「追跡」。
E02211,1,5,chew,動詞,かむ,to bite repeatedly,Chew slowly and enjoy it.,ゆっくりかんで味わう。,chewing gum の chew。
E02212,1,5,climb,動詞,登る,to go up,Costs climbed steadily.,費用が着実に上がった。,b は発音しない。
E02213,1,5,crack,動詞,ひびが入る、割る,to break partly,The screen cracked at the corner.,画面の角にひびが入った。,名詞でも「ひび、割れ目」。
E02214,1,5,crawl,動詞,はう、巡回する,to move on hands and knees,The bot crawls the site nightly.,その仕組みは毎晩その場所を巡回する。,IT の「クローラ」の語源。
E02215,1,5,dig,動詞,掘る,to make a hole,Dig into the log for clues.,手がかりを求めて記録を掘る。,過去形は dug。
E02216,1,5,dive,動詞,飛び込む、潜る,to go down quickly,Let's dive into the details.,詳細に入っていきましょう。,過去形は dived / dove。
E02217,1,5,drag,動詞,引きずる、ドラッグする,to pull along,Drag the file into the window.,ファイルを窓へ引き込む。,drag and drop の drag。
E02218,1,5,dress,動詞,服を着せる,to put clothes on,Dress warmly for the site visit.,現場へは暖かい服装で。,名詞では「ワンピース」。
E02219,1,5,drown,動詞,おぼれる,to die in water,Don't drown the reader in detail.,読み手を細部でおぼれさせないこと。,w は発音しない。
E02220,1,5,dry,動詞,乾かす,to remove water,Dry the parts before use.,使う前に部品を乾かす。,形容詞では「乾いた」。
E02221,1,5,escape,動詞,逃げる、（文字を）エスケープする,to get away,Escape the quotes in the string.,文字列の引用符をエスケープする。,Esc キーはこの語。
E02222,1,5,fade,動詞,薄れる、色あせる,to become weaker,The color fades over time.,色は時とともに薄れる。,fade out は「徐々に消える」。
E02223,1,5,feed,動詞,食べさせる、供給する,to give food or supply,Feed the data into the model.,その資料を仕組みへ流し込む。,過去形は fed。
E02224,1,5,float,動詞,浮かぶ,to stay on the surface,The header floats at the top.,見出しが上に固定される。,IT では「浮動小数点」の float。
E02225,1,5,fold,動詞,折りたたむ,to bend over itself,Fold the section to hide it.,その節を畳んで隠す。,反対は unfold。
E02226,1,5,freeze,動詞,凍る、固まる,to become ice or stop,The screen froze for a minute.,画面が一分ほど固まった。,過去形は froze、過去分詞は frozen。
E02227,1,5,greet,動詞,挨拶する,to say hello,Greet the visitors at the door.,戸口で来客に挨拶する。,名詞は greeting。
