登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E2501,1,6,abandon,動詞,見捨てる、断念する,to leave or give up,We abandoned the old approach.,古いやり方は断念した。,名詞は abandonment。
E2502,1,6,accomplish,動詞,成し遂げる,to finish successfully,We accomplished it in one day.,一日でやり遂げた。,名詞は accomplishment。
E2503,1,6,acknowledge,動詞,認める、受領を知らせる,to admit or confirm receipt,Please acknowledge this mail.,このメールの受領をお知らせください。,名詞は acknowledgment。
E2504,1,6,adhere,動詞,守る、くっつく,to follow closely or stick,Adhere to the naming rule.,命名の決まりを守る。,adhere to の形。名詞は adhesion。
E2505,1,6,advocate,動詞,支持する,to publicly support,She advocates smaller releases.,彼女は小刻みな公開を支持している。,名詞では「支持者、弁護士」。
E2506,1,6,align,動詞,そろえる、合わせる,to put in a line,Align the columns to the left.,列を左にそろえる。,名詞は alignment。
E2507,1,6,allocate,動詞,割り当てる,to give a share,Allocate two hours per review.,見直し1回に2時間を充てる。,名詞は allocation。
E2508,1,6,amend,動詞,修正する,to change slightly for the better,Amend the contract before signing.,署名の前に契約を修正する。,名詞は amendment。
E2509,1,6,anticipate,動詞,予期する,to expect,We did not anticipate this load.,この負荷は予期していなかった。,名詞は anticipation。
E2510,1,6,appreciate,動詞,感謝する、正しく理解する,to be grateful or understand,I appreciate the quick reply.,早いお返事に感謝します。,「価値が上がる」の意味もある。
E2511,1,6,approximate,動詞,近似する,to be nearly the same,This approximates the real cost.,これは実費に近い。,副詞 approximately は「およそ」。
E2512,1,6,assemble,動詞,組み立てる、集める,to put together,Assemble the parts in order.,部品を順に組み立てる。,名詞は assembly。
E2513,1,6,attribute,動詞,～のせいにする,to say something is caused by,They attributed it to the update.,彼らはそれを更新のせいにした。,名詞では「属性」で発音が変わる。
E2514,1,6,authorize,動詞,権限を与える,to give official permission,Only managers are authorized.,権限があるのは管理者だけだ。,英式の綴りは authorise。
E2515,1,6,await,動詞,待つ,to wait for,We await your approval.,ご承認をお待ちしています。,他動詞。for は付けない。
E2516,1,6,bounce,動詞,跳ね返る、（メールが）戻る,to spring back,The mail bounced back.,そのメールは戻ってきた。,名詞でも「跳ね返り」。
E2517,1,6,broadcast,動詞,放送する、一斉送信する,to send to many,Broadcast the notice to all users.,全利用者に通知を一斉に送る。,過去形も broadcast。
E2518,1,6,calibrate,動詞,校正する,to adjust to a standard,Calibrate the sensor monthly.,感知器を月ごとに校正する。,名詞は calibration。
E2519,1,6,circulate,動詞,回覧する、循環する,to pass around,Circulate the draft before the meeting.,会議の前に下書きを回覧する。,名詞は circulation。
E2520,1,6,coincide,動詞,同時に起こる、一致する,to happen at the same time,The two events coincided.,その2つの出来事は重なった。,名詞は coincidence（偶然の一致）。
E2521,1,6,comply,動詞,従う,to act according to a rule,The tool complies with the policy.,その道具は方針に沿っている。,comply with の形。名詞は compliance。
E2522,1,6,compress,動詞,圧縮する,to make smaller,Compress the folder before sending.,送る前にフォルダを圧縮する。,名詞は compression。
E2523,1,6,comprise,動詞,～から成る,to consist of,The set comprises five tools.,その一式は5つの道具から成る。,受け身にしないのが本来の使い方。
E2524,1,6,conceal,動詞,隠す,to keep hidden,Do not conceal the error.,その異常を隠さないこと。,hide よりかたい語。
E2525,1,6,confront,動詞,立ち向かう,to face a problem,We confronted the issue directly.,その課題に正面から向き合った。,名詞は confrontation。
E2526,1,6,consolidate,動詞,統合する、まとめる,to combine into one,Consolidate the reports into one.,報告書を1本にまとめる。,名詞は consolidation。
E2527,1,6,constitute,動詞,構成する、～に当たる,to form or count as,That constitutes a breach.,それは違反に当たる。,名詞は constitution（憲法、構成）。
E2528,1,6,contradict,動詞,矛盾する,to say the opposite,The two logs contradict each other.,その2つの記録は食い違っている。,名詞は contradiction。
E2529,1,6,cooperate,動詞,協力する,to work together,Both teams cooperated well.,両方の班がよく協力した。,名詞は cooperation。
