登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E14501,1,5,sable,名詞,クロテン、黒テンの毛皮,a small forest animal valued for its dark fur,She wore a coat trimmed with sable.,彼女はクロテンの毛皮で縁取ったコートを着ていた。,毛皮が高級品として有名。紋章学では「黒色」を表す語としても使う。
E14502,1,5,senile,形容詞,もうろくした、老衰の,confused or weak in the mind because of old age,His grandfather became senile in his last years.,彼の祖父は晩年もうろくしてしまった。,人に使うと失礼になりやすい。医学では dementia（認知症）を使うのが普通。
E14503,1,5,sleigh,名詞,そり,a vehicle pulled over snow by horses or dogs,The children rode home on a horse-drawn sleigh.,子どもたちは馬の引くそりで家まで帰った。,発音は slay と同じ。sled より大きく、人を乗せて走るものを指す。
E14504,1,5,sliver,名詞,細片、ひとかけら,a very thin small piece broken off something,He cut himself on a sliver of glass.,彼はガラスの破片で手を切った。,a sliver of hope（わずかな希望）のように「ごくわずか」の比喩でも使う。
E14505,1,5,slush,名詞,解けかけの雪、ぬかるみ,snow that has partly melted into soft wet mud,The morning slush soaked through her boots.,朝のぬかるんだ雪が彼女のブーツにしみ込んだ。,slush fund は「裏金」。飲み物のフローズンドリンクも slush と呼ぶ。
E14506,1,5,smelt,動詞,溶鉱して精錬する,to melt rock in order to get metal out of it,The old factory used to smelt iron ore here.,その古い工場はここで鉄鉱石を精錬していた。,金属を取り出す工程を指す。同じつづりで小魚の「ワカサギ類」の意味もある。
E14507,1,5,softness,名詞,柔らかさ、優しさ,the quality of being soft to touch or gentle,I love the softness of this wool blanket.,私はこのウールの毛布の柔らかさが大好きだ。,soft＋-ness。手ざわりだけでなく声や光の「やわらかさ」にも使える。
E14508,1,5,sportsmen,名詞,スポーツをする人たち,men who take part in sports,The club welcomed sportsmen from ten countries.,そのクラブは十か国からのスポーツ選手を迎えた。,sportsman の複数形。今は男女を含む sportspeople を使うことも多い。
E14509,1,5,springboard,名詞,跳躍板、足がかり,"a board used for jumping, or a starting point",The job became a springboard for her career.,その仕事は彼女の経歴の足がかりになった。,水泳や体操の踏み切り板が元の意味。比喩で「きっかけ」の意味が非常に多い。
E14510,1,5,stonewall,動詞,はぐらかして妨害する,to refuse to answer or cooperate in order to delay,The company continued to stonewall the investigators.,その会社は調査官への回答を拒み続けた。,石の壁のように動かない様子から。政治や取材の記事でよく出る語。
E14511,1,5,sustenance,名詞,栄養、生活の支え,food and drink that keeps a person alive,The refugees received basic sustenance and shelter.,難民たちは最低限の食料と住まいを受け取った。,sustain（支える）の名詞。物質的な食料だけでなく心の支えにも使う。
E14512,1,5,swivel,動詞,回転する、向きを変える,to turn around a fixed central point,She swiveled in her chair to face the window.,彼女はいすを回して窓の方を向いた。,swivel chair（回転いす）が代表的な言い方。名詞では「回転台」。
E14513,1,5,tearful,形容詞,涙ぐんだ、涙もろい,crying or about to cry,They said a tearful goodbye at the airport.,彼らは空港で涙ながらの別れを告げた。,tear（涙）＋-ful。tearful farewell（涙の別れ）がよくある形。
