登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E23010,1,8,elect,動詞,選ぶ、選出する,to choose someone for a position by voting,The board will elect a new chairperson at the annual meeting next Tuesday.,取締役会は来週の火曜日の年次総会で新しい議長を選出する。,選挙で選ぶ意味が中心で、単なる選択の choose とは異なる。名詞形 election とセットで覚えるとよい。
E23011,1,8,elevated,形容詞,高い、高架の,raised to a higher level or position than normal,The new warehouse has an elevated platform for loading heavy shipping containers.,新しい倉庫には重い輸送用コンテナを積み込むための高架プラットフォームがある。,elevator と同じ語源で「上げる」が核。elevated risk のように「高まった」の意味でも出る。
E23012,1,8,hear about,句動詞,～について耳にする、聞き及ぶ,to receive news or information concerning something,I heard about the merger from a colleague in the finance department this morning.,今朝、財務部の同僚から合併について耳にした。,話題を表すのが about で、情報源には from を使う。Part 2 の応答問題で頻出。
E23013,1,8,hear from,句動詞,～から連絡をもらう,to receive a message or call from someone,We should hear from the supplier about the delayed order by Friday afternoon.,遅れている注文について金曜の午後までに納入業者から連絡があるはずだ。,連絡の相手を示すのが from。hear about との使い分けが問われやすい。
E23014,1,8,ladder,名詞,はしご、階段,a device with steps used for climbing up to high places,Please do not leave the ladder near the emergency exit of the factory.,工場の非常口の近くにはしごを置いたままにしないでください。,安全に関する掲示やアナウンスでよく出る。career ladder は「出世の階段」。
E23015,1,8,lobby,名詞,ロビー、玄関ホール,a large open area just inside the entrance of a building,Visitors must sign in at the front desk in the lobby before entering the office.,来訪者はオフィスに入る前にロビーの受付で記帳しなければならない。,ホテルやオフィスの案内で頻出。動詞では「陳情する」の意味もある。
E23016,1,8,mineral,名詞,鉱物、ミネラル,a natural substance found in the ground or needed by the body,The cafeteria now offers bottled mineral water at no extra charge to employees.,社員食堂では今、従業員に追加料金なしでミネラルウォーターを提供している。,mineral water の形で最もよく出る。鉱業の文脈では「鉱物資源」を指す。
E23017,1,8,modest,形容詞,控えめな、ささやかな,"not large in size or amount, or not boastful",The company reported a modest increase in sales during the third quarter.,同社は第三四半期に売上のわずかな増加を報告した。,数量では「わずかな」、人柄では「謙虚な」。決算記事で modest growth の形が定番。
E23018,1,8,navigation,名詞,航行、案内、ナビゲーション,the act of finding a route or moving around a system,The redesigned website improves navigation so customers can find products faster.,刷新されたウェブサイトはナビゲーションが改善され、顧客が商品をより早く見つけられる。,船や航空の「航行」だけでなく、サイト操作の「画面移動」でも出る。動詞は navigate。
E23019,1,8,pill,名詞,錠剤、丸薬,a small round piece of medicine that you swallow,The pharmacist explained how many pills the patient should take each morning.,薬剤師は患者が毎朝何錠飲むべきかを説明した。,薬局や病院の場面で prescription とともに登場する。tablet とほぼ同義。
E23020,1,8,profitable,形容詞,もうかる、有益な,making money or giving a useful result,The overseas branch has become profitable much sooner than the managers expected.,海外支店は経営陣の予想よりずっと早く黒字になった。,名詞は profit、反意語は unprofitable。ビジネス記事で最頻出の形容詞のひとつ。
E23021,1,8,reject,動詞,断る、不合格にする,to refuse to accept or approve something,The quality team had to reject several parts that failed the safety inspection.,品質管理チームは安全検査に不合格となった部品をいくつか不合格としなければならなかった。,申請や提案を「却下する」意味で頻出。反意語は accept や approve。
E23022,1,8,remainder,名詞,残り、残余,the part of something that is left after the rest is used,The remainder of the budget will be spent on staff training in the fall.,予算の残りは秋の社員研修に使われる予定だ。,the remainder of the ~ の形で使う。rest とほぼ同義だがやや硬い表現。
E23023,1,8,supplement,名詞,補足、栄養補助食品,something added to make a thing complete or better,The manual includes a supplement that explains the newly added software features.,そのマニュアルには新たに追加されたソフトウェア機能を説明する補足資料が含まれている。,動詞では「補う」。income supplement のように「補助」の意味でも使われる。
E23024,1,8,threshold,名詞,敷居、基準値,the level or point at which something starts to happen,Orders above the threshold of one hundred units qualify for a bulk discount.,百個という基準を超える注文は大口割引の対象となる。,抽象的な「境界値」の意味でビジネス文書に多い。pain threshold のような使い方もある。
E23025,1,8,accommodate,動詞,収容する、対応する,"to have enough space for, or to do what someone needs",The conference hall can accommodate up to three hundred guests for the awards dinner.,その会議場は授賞式の夕食会で最大三百名の客を収容できる。,「収容する」と「便宜を図る」の二義があり、両方が出題される。名詞は accommodation。
E23026,1,8,accordingly,副詞,それに応じて、したがって,in a way that is suitable for the situation,"Demand has risen sharply, so we adjusted the production schedule accordingly.",需要が急増したので、それに応じて生産計画を調整した。,文末に置かれることが多い。therefore に近いが「それに合わせて」の含みが強い。
