登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E1901,1,4,visible,形容詞,見える,able to be seen,The button is not visible here.,ここではボタンが見えない。,反対は invisible。
E1902,1,4,absorb,動詞,吸収する,to take in,The foam absorbs the shock.,その泡材が衝撃を吸収する。,名詞は absorption。
E1903,1,4,accompany,動詞,同行する、伴う,to go with,A guide accompanies the file.,そのファイルには手引きが付く。,名詞は company（仲間、会社）と同語源。
E1904,1,4,accumulate,動詞,蓄積する,to collect over time,Logs accumulate quickly here.,ここでは記録がすぐたまる。,名詞は accumulation。
E1905,1,4,acquire,動詞,獲得する、買収する,to get or buy,They acquired the smaller firm.,彼らは小さい会社を買収した。,名詞は acquisition。
E1906,1,4,activate,動詞,有効にする,to make active,Activate the license by mail.,使用権はメールで有効にする。,反対は deactivate。
E1907,1,4,advise,動詞,助言する,to give advice,I advise a smaller change.,もっと小さな変更をお勧めします。,名詞は advice（発音も違う）。
E1908,1,4,aid,動詞,助ける,to help,The chart aids understanding.,その図は理解を助ける。,名詞でも「援助」。first aid は「応急手当」。
E1909,1,4,alter,動詞,変更する,to change,Do not alter the original file.,元のファイルは変えないこと。,SQL の ALTER TABLE のこと。
E1910,1,4,arise,動詞,生じる,to happen,Problems arise when data is missing.,資料が欠けると問題が生じる。,過去形は arose。他動詞ではない。
E1911,1,4,assess,動詞,評価する、査定する,to judge the value,Assess the risk before starting.,始める前に危険度を見積もる。,名詞は assessment。
E1912,1,4,attract,動詞,引きつける,to make interested,The demo attracted many users.,その実演は多くの利用者を引きつけた。,名詞は attraction。
E1913,1,4,bend,動詞,曲げる,to make curved,Do not bend the card.,その札を曲げないこと。,過去形は bent。
E1914,1,4,bind,動詞,縛る、結び付ける,to tie together,The contract binds both sides.,その契約は双方を縛る。,過去形は bound。
E1915,1,4,boost,動詞,押し上げる,to increase,Caching boosts the speed.,一時保存が速さを押し上げる。,名詞でも「後押し」。
E1916,1,4,burn,動詞,燃やす、焼く,to destroy with fire,Burn the data to a disc.,資料を円盤に焼く。,過去形は burned / burnt。
E1917,1,4,bury,動詞,埋める,to put under ground,The setting is buried in a submenu.,その設定は下の階層に埋もれている。,発音は「ベリー」。
E1918,1,4,capture,動詞,捕らえる、取り込む,to catch or record,Capture the screen and attach it.,画面を写して添えてください。,名詞でも「取り込み」。
E1919,1,4,cease,動詞,やめる、止む,to stop,The service ceased last March.,そのサービスは昨年3月に終わった。,stop よりかたい言い方。
E1920,1,4,cite,動詞,引用する,to quote as a source,"Cite the manual, not a blog.",手引きを引用する。日記ではなく。,名詞は citation。site / sight と同音。
E1921,1,4,clarify,動詞,はっきりさせる,to make clear,Clarify the meaning of this field.,この欄の意味をはっきりさせる。,名詞は clarification。
E1922,1,4,classify,動詞,分類する,to put into groups,Classify the errors by cause.,異常を原因で分類する。,classified は「機密の」。
E1923,1,4,collapse,動詞,崩れる、折りたたむ,to fall down or fold,Collapse the tree to see less.,枝を畳んで表示を減らす。,名詞でも「崩壊」。
E1924,1,4,compete,動詞,競争する,to try to win,Two tools compete for the same job.,同じ仕事で2つの道具が競っている。,名詞は competition。
E1925,1,4,compose,動詞,構成する、作曲する,to make up or write music,The team is composed of five people.,その班は5人で構成されている。,be composed of の形。
E1926,1,4,conduct,動詞,行う、指揮する,to carry out,We conducted a survey last week.,先週、調査を行った。,名詞では「行い」で発音が変わる。
E1927,1,4,consult,動詞,相談する、参照する,to ask for advice,Consult the manual first.,まず手引きを参照する。,名詞は consultant。
E1928,1,4,consume,動詞,消費する,to use up,The job consumes a lot of memory.,その処理は記憶領域を多く使う。,名詞は consumption。
E1929,1,4,convince,動詞,納得させる,to make someone believe,The numbers convinced the manager.,その数字が課長を納得させた。,be convinced は「確信している」。
E1930,1,4,cope,動詞,うまく対処する,to deal with difficulty,We cope with two systems at once.,2つの仕組みを同時に扱っている。,cope with の形。
E1931,1,4,crash,動詞,衝突する、（機械が）落ちる,to hit hard or stop working,The app crashed on startup.,起動時にアプリが落ちた。,名詞でも「衝突、異常終了」。
E1932,1,4,cure,動詞,治す,to make well,Restarting does not cure the cause.,再起動しても原因は治らない。,名詞でも「治療法」。
E1933,1,4,dare,動詞,あえて～する,to be brave enough,No one dared to touch it.,誰も手を出そうとしなかった。,How dare you は強い非難。
E1934,1,4,deal,動詞,扱う、取引する,to handle,Who deals with the invoices?,請求書は誰が扱いますか。,deal with の形。名詞では「取引」。
E1935,1,4,decline,動詞,断る、減少する,to refuse or go down,Sales declined for two quarters.,売上が2期続けて減った。,名詞でも「減少」。
E1936,1,4,dedicate,動詞,捧げる、専用にする,to give fully to,A dedicated server runs the job.,専用のサーバがその処理を回す。,dedicated は「専用の、献身的な」。
E1937,1,4,derive,動詞,導き出す,to get from a source,The value derives from the total.,その値は合計から導かれる。,derive from の形。
E1938,1,4,detect,動詞,検出する,to discover,The tool detects broken links.,その道具は切れた参照先を見つける。,名詞は detection。
E1939,1,4,devote,動詞,捧げる,to give time to,He devoted a week to testing.,彼は一週間を試験に充てた。,devote 時間 to 事 の形。
E1940,1,4,differ,動詞,異なる,to be unlike,The two files differ in one line.,その2つのファイルは1行だけ違う。,名詞は difference。
E1941,1,4,dismiss,動詞,退ける、解雇する,to reject or send away,Do not dismiss the warning.,その警告を軽く見ないこと。,画面では「閉じる」の意味でも使う。
E1942,1,4,distinguish,動詞,見分ける,to see the difference,Distinguish errors from warnings.,異常と警告を見分ける。,distinguish A from B の形。
E1943,1,4,emerge,動詞,現れる,to come out,A pattern emerged after a week.,一週間で傾向が見えてきた。,名詞は emergence。
E1944,1,4,emphasize,動詞,強調する,to give importance to,Emphasize the deadline in bold.,締切を太字で強調する。,名詞は emphasis。
E1945,1,4,enable,動詞,可能にする、有効にする,to make possible,Enable logging in the settings.,設定で記録を有効にする。,反対は disable。
E1946,1,4,encounter,動詞,出くわす,to meet unexpectedly,We encountered a rare error.,まれな異常に出くわした。,名詞でも「遭遇」。
E1947,1,4,enhance,動詞,高める,to improve,This enhances readability.,これは読みやすさを高める。,名詞は enhancement。
E1948,1,4,exceed,動詞,超える,to go beyond,The file exceeds the size limit.,そのファイルは上限を超えている。,名詞は excess。
E1949,1,4,exclude,動詞,除外する,to leave out,Exclude test rows from the total.,合計から試験用の行を除く。,反対は include。
E1950,1,4,execute,動詞,実行する,to carry out,Execute the script as admin.,管理者としてその台本を実行する。,名詞は execution。
E1951,1,4,exist,動詞,存在する,to be real or present,The folder does not exist yet.,そのフォルダはまだ存在しない。,名詞は existence。
E1952,1,4,expose,動詞,さらす、暴露する,to make visible,Do not expose the key in code.,鍵をコードにさらさないこと。,名詞は exposure。
E1953,1,4,extract,動詞,抜き出す,to take out,Extract the dates from the text.,文章から日付を抜き出す。,名詞では「抜粋」で発音が変わる。
E1954,1,4,facilitate,動詞,促進する、進めやすくする,to make easier,A template facilitates review.,ひな形があると見直しが楽になる。,名詞は facility（施設、能力）。
E1955,1,4,fetch,動詞,取ってくる,to go and bring back,The page fetches data on load.,その画面は読み込み時に資料を取りに行く。,IT でよく使う語。
E1956,1,4,flip,動詞,ひっくり返す,to turn over,Flip the switch to test.,試すには切り替えを反転する。,flip side は「裏面」。
E1957,1,4,forbid,動詞,禁じる,to not allow,Policy forbids personal drives.,方針で個人の記憶装置は禁じられている。,過去形は forbade、過去分詞は forbidden。
E1958,1,4,forecast,動詞,予測する,to say what will happen,They forecast a busy quarter.,彼らは忙しい四半期を見込んでいる。,名詞でも「予報」。過去形も forecast。
E1959,1,4,gain,動詞,得る、増す,to obtain or increase,We gained two seconds per run.,1回あたり2秒縮まった。,名詞でも「増加、利得」。
E1960,1,4,grant,動詞,与える、認める,to give formally,Grant read access only.,読み取りだけを許す。,名詞では「助成金」。
E1961,1,4,guess,動詞,推測する,to give an answer without knowing,Don't guess; measure it.,推測せず、測ること。,名詞でも「推測」。
E1962,1,4,hide,動詞,隠す,to put out of sight,"Hide the column, don't delete it.",列は消さずに隠す。,過去形は hid、過去分詞は hidden。
E1963,1,4,highlight,動詞,強調する、目立たせる,to make stand out,Highlight the changed rows.,変わった行を目立たせる。,名詞でも「見どころ」。
E1964,1,4,hire,動詞,雇う,to give a job to,They hired two engineers.,彼らは技術者を2人雇った。,英式では「借りる」の意味もある。
E1965,1,4,host,動詞,主催する、提供する,to hold an event or provide,This server hosts three sites.,このサーバは3つの場所を載せている。,名詞では「主人、提供元」。
E1966,1,4,illustrate,動詞,説明する、図解する,to explain with examples,The chart illustrates the drop.,その図が落ち込みを示している。,名詞は illustration。
E1967,1,4,imply,動詞,暗に示す,to suggest without saying,The error implies a missing file.,その異常はファイル欠落を示唆する。,名詞は implication。
E1968,1,4,impose,動詞,課す,to force on someone,They imposed a size limit.,彼らは大きさの上限を課した。,impose A on B の形。
E1969,1,4,inherit,動詞,受け継ぐ,to receive from before,Child folders inherit the setting.,下のフォルダはその設定を受け継ぐ。,名詞は inheritance（継承）。
E1970,1,4,initiate,動詞,始める,to start,Initiate the transfer at midnight.,深夜に転送を開始する。,名詞は initiative（主導権）。
E1971,1,4,inspect,動詞,点検する,to look at closely,Inspect the cable before use.,使う前に線を点検する。,名詞は inspection。
E1972,1,4,integrate,動詞,統合する,to combine into one,Integrate the two systems.,その2つの仕組みを統合する。,名詞は integration。
E1973,1,4,interpret,動詞,解釈する、通訳する,to explain the meaning,How do you interpret this code?,この番号をどう読み解きますか。,名詞は interpretation / interpreter。
E1974,1,4,justify,動詞,正当化する、そろえる,to show it is right,Justify the extra cost.,追加の費用を説明できるようにする。,文字では「両端そろえ」。
E1975,1,4,launch,動詞,開始する、売り出す,to start something new,We launch the tool in June.,6月にその道具を出す。,名詞でも「開始、発売」。
E1976,1,4,lock,動詞,施錠する、固定する,to fasten,Lock the row so it stays.,その行が動かないよう固定する。,反対は unlock。
E1977,1,4,maximize,動詞,最大にする,to make as large as possible,Maximize the window first.,まず窓を最大にする。,反対は minimize。
E1978,1,4,merge,動詞,統合する、合併する,to join into one,Merge the two branches.,その2つの枝を合わせる。,名詞でも「合併」。
E1979,1,4,migrate,動詞,移行する,to move to another place,We migrated to a new server.,新しいサーバへ移った。,名詞は migration。
E1980,1,4,neglect,動詞,怠る,to fail to care for,Do not neglect the backups.,控えを取るのを怠らないこと。,名詞でも「怠慢」。
E1981,1,4,nominate,動詞,指名する,to propose someone,She was nominated for the award.,彼女はその賞に推薦された。,名詞は nomination。
E1982,1,4,obey,動詞,従う,to do what you are told,The script obeys the config file.,その台本は設定ファイルに従う。,反対は disobey。
E1983,1,4,occupy,動詞,占める,to fill a space,Logs occupy half the disk.,記録が記憶装置の半分を占めている。,名詞は occupation（職業、占領）。
E1984,1,4,occur,動詞,起こる,to happen,The error occurs once a week.,その異常は週に一度起きる。,名詞は occurrence（綴りに注意）。
E1985,1,4,outline,動詞,概略を述べる,to describe the main points,Outline the plan in five lines.,計画を5行で概説する。,名詞でも「あらすじ、輪郭」。
E1986,1,4,overcome,動詞,克服する,to succeed against,We overcame the memory limit.,記憶領域の制約を乗り越えた。,過去形は overcame、過去分詞は overcome。
E1987,1,4,persuade,動詞,説得する,to make someone agree,He persuaded the team to wait.,彼は班を説得して待たせた。,名詞は persuasion。
E1988,1,4,pop,動詞,ぽんと出る、はじける,to appear or burst,A dialog pops up on save.,保存すると窓が出てくる。,pop-up は「飛び出す窓」。
E1989,1,4,possess,動詞,所有する,to own,He possesses rare skills.,彼はまれな技能を持っている。,名詞は possession。
E1990,1,4,predict,動詞,予測する,to say in advance,It is hard to predict the load.,負荷を読むのは難しい。,名詞は prediction。
E1991,1,4,preview,動詞,下見する,to look at before,Preview the print before sending.,送る前に印刷結果を見る。,名詞でも「下見、予告」。
E1992,1,4,prioritize,動詞,優先順位を付ける,to put in order of importance,Prioritize the three blockers.,支障となる3件を先にする。,名詞は priority。
E1993,1,4,prove,動詞,証明する,to show it is true,The log proves the timing.,その記録が時刻を裏付ける。,過去分詞は proved / proven。
E1994,1,4,pursue,動詞,追求する,to follow or try to achieve,We pursued a simpler design.,より単純な設計を追った。,名詞は pursuit。
E1995,1,4,quit,動詞,やめる,to stop or leave,Quit the app before updating.,更新の前にアプリを終える。,過去形も quit。
