登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E04301,1,2,peninsula,名詞,半島,a piece of land almost surrounded by water,The town lies at the tip of the peninsula.,町は半島の先端にある。,pen（ほとんど）＋ insula（島）。
E04302,1,2,pork,名詞,豚肉,meat from a pig,We had roast pork for dinner.,夕食にローストポークを食べた。,牛肉は beef、羊肉は mutton。
E04303,1,2,ranch,名詞,牧場、農場,a large farm for raising cattle or horses,They run a cattle ranch in Texas.,彼らはテキサスで牧場を営んでいる。,アメリカ英語。イギリスでは farm。
E04304,1,2,tin,名詞,すず、缶,a soft silver metal; a metal container for food,Open a tin of tomatoes.,トマトの缶を開けてください。,アメリカでは缶を can と言う。
E04305,1,2,trunk,名詞,幹、（車の）荷台、象の鼻,the main stem of a tree; a large box; a car's storage space,The trunk of the oak is very thick.,そのかしの幹はとても太い。,イギリスでは車の荷台は boot。
E04306,1,2,take issue with,熟語,～に異議を唱える,to disagree with something,I take issue with that conclusion.,その結論には異議があります。,丁寧に反論するときの表現。
E04307,1,2,reasonably,副詞,かなり、まずまず、道理にかなって,fairly; in a sensible way,The results are reasonably accurate.,結果はまずまず正確だ。,「そこそこ」の意味で幅広く使う。
E04308,1,2,thereby,副詞,それによって、その結果,as a result of that action,"We automated the check, thereby saving time.",確認を自動化し、それによって時間を節約した。,書き言葉向き。後ろに doing が続くことが多い。
E04309,1,2,chapel,名詞,礼拝堂、チャペル,a small building or room used for prayer,The old chapel stands beside the school.,古い礼拝堂が学校の隣に立っている。,church より小さい建物。
E04310,1,2,lobby,名詞,ロビー、圧力団体,an entrance hall; a group that tries to influence politicians,We will meet in the hotel lobby.,ホテルのロビーで会いましょう。,動詞で「陳情する」。
E04311,1,2,aesthetic,形容詞,美的な、審美の,concerned with beauty and appearance,The design has strong aesthetic appeal.,そのデザインは美的な魅力が強い。,アメリカ式つづりは esthetic。
E04312,1,2,anchor,名詞,いかり、支え,a heavy object dropped to hold a ship in place,The ship dropped anchor in the bay.,船は湾内でいかりを下ろした。,ニュース番組の「キャスター」も anchor。
E04313,1,2,bizarre,形容詞,奇妙な、風変わりな,very strange and unusual,The error produced a bizarre result.,その不具合は奇妙な結果を生んだ。,フランス語由来。発音はビザール。
E04314,1,2,ferry,名詞,フェリー、渡し船,a boat that carries people across water regularly,The ferry leaves every hour.,フェリーは1時間ごとに出る。,動詞で「運ぶ」。
E04315,1,2,gauge,名詞,計器、測定器、基準,an instrument for measuring; a standard measure,Check the pressure gauge before starting.,始動前に圧力計を確認してください。,発音はゲージ。つづりに注意。
E04316,1,2,goat,名詞,やぎ,an animal with horns kept for milk and meat,Goats graze on the hillside.,やぎが斜面で草を食べている。,get someone's goat は「いらだたせる」。
E04317,1,2,lamb,名詞,子羊、ラム肉,a young sheep; meat from a young sheep,The lambs were born in spring.,子羊たちは春に生まれた。,b は発音しない（ラム）。
