登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E01601,1,3,indoors,副詞,屋内で,inside a building,The test was done indoors.,その試験は屋内で行われた。,反対は outdoors。
E01602,1,3,abroad,副詞,海外で,in a foreign country,Some data is stored abroad.,一部の資料は海外に置かれている。,go abroad は「海外へ行く」。
E01603,1,3,overseas,副詞,海外へ、海外で,to or in another country,We ship overseas twice a month.,月2回、海外へ出荷する。,形容詞でも「海外の」。
E01604,1,3,achieve,動詞,達成する,to succeed in doing,We achieved the target in March.,3月に目標を達成した。,名詞は achievement。
E01605,1,3,adjust,動詞,調整する,to change slightly,Adjust the margin by two millimeters.,余白を2ミリ調整する。,名詞は adjustment。
E01606,1,3,adopt,動詞,採用する、養子にする,to start using,We adopted the new rule last year.,昨年その新しい規則を採り入れた。,adapt（適応させる）と綴りが似ている。
E01607,1,3,adapt,動詞,適応させる、作り替える,to change to fit,Adapt the script for Windows.,その台本を Windows 向けに作り替える。,adopt（採用する）と混同しやすい。
E01608,1,3,announce,動詞,発表する,to tell publicly,They announced the date yesterday.,彼らは昨日その日付を発表した。,名詞は announcement。
E01609,1,3,apologize,動詞,謝る,to say you are sorry,He apologized for the delay.,彼は遅れを謝った。,英式の綴りは apologise。
E01610,1,3,appoint,動詞,任命する、指定する,to choose for a job,She was appointed team leader.,彼女は班長に任命された。,名詞は appointment（予約、任命）。
E01611,1,3,arrange,動詞,手配する、並べる,to organize,I arranged a call for Monday.,月曜に通話を手配した。,名詞は arrangement。
E01612,1,3,assign,動詞,割り当てる,to give a task to someone,Assign each task to one person.,各作業をひとりずつに割り当てる。,名詞は assignment（課題）。
E01613,1,3,assist,動詞,手伝う,to help,A junior member assisted me.,後輩が手伝ってくれた。,help よりかたい言い方。
E01614,1,3,assume,動詞,仮定する、思い込む,to think something is true,Don't assume the file exists.,そのファイルがあると決めてかからないこと。,名詞は assumption（前提）。
E01615,1,3,attempt,動詞,試みる,to try,We attempted three fixes.,3通りの直しを試みた。,名詞でも「試み」。try よりかたい。
E01616,1,3,balance,動詞,釣り合わせる,to keep steady,Balance speed against safety.,速さと安全の釣り合いを取る。,名詞では「残高、均衡」。
E01617,1,3,blame,動詞,責める,to say someone is at fault,Don't blame the tool.,道具のせいにしないこと。,blame 人 for 事 の形。
E01618,1,3,block,動詞,ふさぐ、遮断する,to stop from passing,The firewall blocks this port.,防火壁がその口をふさいでいる。,名詞では「かたまり、街区」。
E01619,1,3,calculate,動詞,計算する,to work out a number,Calculate the total per month.,月ごとの合計を計算する。,名詞は calculation。
E01620,1,3,cancel,動詞,取り消す,to stop something planned,They cancelled the meeting.,会議は取りやめになった。,英式は綴りが cancelled、米式は canceled。
E01621,1,3,celebrate,動詞,祝う,to mark a happy event,We celebrated the release.,公開を祝った。,名詞は celebration。
E01622,1,3,challenge,動詞,異議を唱える、挑む,to question or test,He challenged the estimate.,彼はその見積りに異を唱えた。,日本語の「チャレンジ（挑戦する）」とはずれる。
E01623,1,3,combine,動詞,組み合わせる,to join together,Combine the two sheets into one.,2枚の表を1枚にまとめる。,名詞は combination。
E01624,1,3,comment,動詞,意見を述べる,to give an opinion,Please comment on the draft.,下書きに意見をください。,名詞でも「注釈」。
E01625,1,3,commit,動詞,約束する、（罪を）犯す,to promise or do something bad,We committed to a May release.,5月の公開を約束した。,IT では「変更を確定する」。
E01626,1,3,communicate,動詞,伝える、意思を通じる,to share information,The two systems communicate over TCP.,その2つの仕組みは TCP でやり取りする。,名詞は communication。
E01627,1,3,complain,動詞,苦情を言う,to say you are unhappy,Users complained about the speed.,利用者から速さの苦情が出た。,名詞は complaint。
E01628,1,3,complete,動詞,完了する,to finish,Complete the form before Friday.,金曜までに用紙を書き終える。,形容詞では「完全な」。
E01629,1,3,concentrate,動詞,集中する,to give full attention,Concentrate on the main cause.,主な原因に集中する。,concentrate on の形。
E01630,1,3,confirm,動詞,確認する,to check that it is true,Please confirm the date by mail.,日付をメールでご確認ください。,名詞は confirmation。
E01631,1,3,contribute,動詞,貢献する、寄稿する,to give a part,Everyone contributed to the fix.,皆がその修正に貢献した。,contribute to の形。
E01632,1,3,convert,動詞,変換する,to change the form of,Convert the file to CSV.,そのファイルを CSV に変換する。,名詞は conversion。
E01633,1,3,declare,動詞,宣言する、申告する,to say officially,Declare the variable first.,まず変数を宣言する。,名詞は declaration。
E01634,1,3,delay,動詞,遅らせる,to make late,The storm delayed delivery.,嵐が配送を遅らせた。,名詞でも「遅れ」。
E01635,1,3,deliver,動詞,届ける、果たす,to take to a place,We delivered the report on time.,報告書は期限どおりに出した。,名詞は delivery。
E01636,1,3,demand,動詞,要求する,to ask firmly,They demanded a full refund.,彼らは全額返金を求めた。,名詞では「需要、要求」。
E01637,1,3,demonstrate,動詞,実演する、示す,to show clearly,Let me demonstrate the steps.,手順を実際にお見せします。,略して demo。
E01638,1,3,determine,動詞,決定する、突き止める,to decide or find out,We could not determine the cause.,原因を突き止められなかった。,be determined to は「固く決意している」。
E01639,1,3,discover,動詞,発見する,to find something new,She discovered a shortcut.,彼女は近道を見つけた。,名詞は discovery。
E01640,1,3,display,動詞,表示する,to show,Display the total at the bottom.,合計を下に表示する。,名詞では「画面、展示」。
E01641,1,3,distribute,動詞,配る,to give out,Distribute the guide to all staff.,手引きを全員に配る。,名詞は distribution。
E01642,1,3,encourage,動詞,励ます、促す,to give confidence,We encourage short commits.,小さな単位での記録を勧めている。,反対は discourage。
E01643,1,3,engage,動詞,関わる、引き込む,to take part or attract,The tool engages new users well.,その道具は新しい利用者をよく引き込む。,名詞は engagement（約束、婚約）。
E01644,1,3,ensure,動詞,確実にする,to make sure,Ensure the backup finished.,控えが終わったことを確かめる。,insure（保険をかける）と混同しやすい。
E01645,1,3,establish,動詞,設立する、確立する,to set up,We established a naming rule.,命名の決まりを定めた。,名詞は establishment。
E01646,1,3,estimate,動詞,見積もる,to guess the amount,Estimate the work in hours.,作業量を時間で見積もる。,名詞では「見積り」で発音が変わる。
E01647,1,3,evaluate,動詞,評価する,to judge the value,Evaluate two options first.,まず2案を評価する。,名詞は evaluation。
E01648,1,3,examine,動詞,調べる,to look at carefully,Examine the log line by line.,記録を一行ずつ調べる。,名詞は examination（試験、検査）。
E01649,1,3,exchange,動詞,交換する,to give and receive,We exchanged files by mail.,メールでファイルをやり取りした。,名詞では「交換、両替」。
E01650,1,3,expand,動詞,広げる,to make larger,Expand the folder to see files.,フォルダを開いて中身を見る。,名詞は expansion。
E01651,1,3,experience,動詞,経験する,to have something happen to you,We experienced two outages.,2度の停止を経験した。,名詞でも「経験」。
E01652,1,3,explore,動詞,探る、調べる,to search or travel,Explore other options first.,まず別の道を探ってみる。,名詞は exploration。
E01653,1,3,extend,動詞,延ばす、広げる,to make longer,Extend the deadline by a week.,締切を一週間延ばす。,名詞は extension（延長、拡張子）。
E01654,1,3,focus,動詞,集中する、焦点を合わせる,to give attention to,Focus on the top three issues.,上位3件の課題に絞る。,focus on の形。名詞でも「焦点」。
E01655,1,3,generate,動詞,生み出す,to produce,The script generates the report.,その台本が報告書を作る。,名詞は generation（世代、生成）。
E01656,1,3,guarantee,動詞,保証する,to promise,We cannot guarantee the speed.,速さは保証できません。,名詞でも「保証」。
E01657,1,3,handle,動詞,扱う、対処する,to deal with,Who handles the support mail?,支援用のメールは誰が扱いますか。,名詞では「取っ手」。
E01658,1,3,identify,動詞,特定する,to recognize,Identify the failing step.,失敗している段階を特定する。,名詞は identification（ID）。
E01659,1,3,ignore,動詞,無視する,to pay no attention,The tool ignores blank lines.,その道具は空行を無視する。,形容詞は ignorant（無知な）。
E01660,1,3,implement,動詞,実行する、実装する,to put into effect,We implemented it in two days.,2日で作り込んだ。,名詞では「道具」。
E01661,1,3,impress,動詞,感銘を与える,to make someone admire,The speed impressed the client.,その速さは先方の心をつかんだ。,名詞は impression（印象）。
E01662,1,3,influence,動詞,影響を与える,to have an effect on,Cost influenced the decision.,費用が決定に影響した。,名詞でも「影響（力）」。
E01663,1,3,inform,動詞,知らせる,to tell,Inform the team before you deploy.,配置する前に班へ知らせる。,inform 人 of 事 の形。
E01664,1,3,interrupt,動詞,中断する、割り込む,to stop for a time,Sorry to interrupt your work.,作業中に失礼します。,名詞は interruption。
E01665,1,3,introduce,動詞,紹介する、導入する,to present for the first time,We introduced a new step.,新しい手順を取り入れた。,名詞は introduction。
E01666,1,3,invest,動詞,投資する,to put money or time into,We invested a week in tests.,試験に一週間を費やした。,名詞は investment。
E01667,1,3,investigate,動詞,調査する,to try to find the truth,They investigated the outage.,彼らは停止の原因を調べた。,名詞は investigation。
E01668,1,3,limit,動詞,制限する,to keep under a level,Limit the list to 500 rows.,一覧は500行までにする。,名詞でも「限度」。
E01669,1,3,locate,動詞,見つける、置く,to find the place of,Locate the config file first.,まず設定ファイルの場所を探す。,be located は「位置している」。
E01670,1,3,maintain,動詞,維持する、保守する,to keep in good condition,We maintain the current quality level.,いまの品質を保っている。,名詞は maintenance（綴りに注意）。
E01671,1,3,modify,動詞,修正する,to change a little,"Modify the template, not the data.",資料ではなくひな形を直す。,名詞は modification。
E01672,1,3,monitor,動詞,監視する,to watch over time,Monitor the queue every hour.,待ち行列を毎時間見張る。,名詞では「画面、監視装置」。
E01673,1,3,negotiate,動詞,交渉する,to discuss to reach agreement,We negotiated the price down.,交渉して値段を下げた。,名詞は negotiation。
E01674,1,3,obtain,動詞,得る,to get,Obtain approval before starting.,始める前に承認を得る。,get よりかたい言い方。
E01675,1,3,operate,動詞,操作する、運営する,to work or make work,The robot operates at night.,その仕組みは夜に動く。,名詞は operation（運用、手術）。
E01676,1,3,organize,動詞,まとめる、主催する,to arrange,Organize the files by month.,ファイルを月ごとにまとめる。,英式の綴りは organise。
E01677,1,3,participate,動詞,参加する,to take part,Twenty people participated.,20人が参加した。,participate in の形。
E01678,1,3,perform,動詞,行う、演じる,to do or act,The script performs three checks.,その台本は3つの確認を行う。,名詞は performance（性能、公演）。
E01679,1,3,present,動詞,発表する、贈る,to show or give,She presented the plan to the board.,彼女は役員会で計画を発表した。,形容詞・名詞では発音の位置が変わる。
E01680,1,3,preserve,動詞,保つ、保存する,to keep safe,Preserve the line breaks.,改行はそのまま残す。,名詞では「保存食」。
E01681,1,3,proceed,動詞,進む,to continue,Proceed to the next step.,次の段階へ進む。,precede（先立つ）と綴りが似ている。
E01682,1,3,promote,動詞,促進する、昇進させる,to help grow or raise,He was promoted last April.,彼は昨年4月に昇進した。,名詞は promotion。
E01683,1,3,propose,動詞,提案する,to suggest,I proposed a smaller change.,もっと小さな変更を提案した。,名詞は proposal。
E01684,1,3,publish,動詞,公開する、出版する,to make public,We publish the guide as a PDF.,手引きは PDF で公開する。,名詞は publication。
E01685,1,3,purchase,動詞,購入する,to buy,We purchased ten licenses.,使用権を10本購入した。,buy よりかたい言い方。名詞でも使う。
E01686,1,3,recognize,動詞,認識する、認める,to know or accept,The system recognized the card.,その仕組みは札を読み取った。,英式の綴りは recognise。
E01687,1,3,recommend,動詞,勧める,to say something is good,I recommend the smaller size.,小さいほうをお勧めします。,名詞は recommendation。
E01688,1,3,recover,動詞,回復する、取り戻す,to get back to normal,The server recovered in minutes.,サーバは数分で回復した。,名詞は recovery。
E01689,1,3,refer,動詞,参照する、言及する,to look at or mention,Refer to page ten.,10ページを参照してください。,refer to の形。名詞は reference。
E01690,1,3,register,動詞,登録する,to put on a list,Register the device once.,その機器を一度登録する。,名詞は registration。
