登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E20580,1,7,legionnaire,名詞,外人部隊兵、在郷軍人,"a member of a legion, especially the French Foreign Legion",His grandfather served as a legionnaire in North Africa.,彼の祖父は北アフリカで外人部隊兵として従軍した。,legion（軍団）から。病名 Legionnaires' disease は在郷軍人会の集会に由来。
E20581,1,7,magnetization,名詞,磁化、帯磁,the process of making something magnetic,Heating the metal destroyed most of its magnetization.,金属を熱するとその磁化はほとんど失われた。,動詞は magnetize。英国つづりは magnetisation。
E20582,1,7,marionette,名詞,あやつり人形,a puppet moved by strings from above,The children watched a marionette dance across the little stage.,子どもたちはあやつり人形が小さな舞台を踊り渡るのを見た。,上から糸で操る人形に限る語。手を入れて動かす人形は hand puppet と言う。
E20583,1,7,masochist,名詞,苦痛を好む人、マゾヒスト,a person who seems to enjoy pain or hardship,You must be a masochist to run in this weather.,この天気で走るなんて苦行好きに違いない。,日常では「わざと苦労を選ぶ人」への冗談として使う。対は sadist。
E20584,1,7,noes,名詞,反対票、否の答え,votes or answers against something,The ayes were forty and the noes were thirty-two.,賛成票は四十、反対票は三十二だった。,no の複数形で、議会の採決結果を読み上げるときに使う。賛成票は ayes。
E20585,1,7,nonce,名詞,さしあたり、当座,the present time or occasion only,The term was coined for the nonce and never used again.,その語は当座のために作られ、二度と使われなかった。,ほぼ for the nonce の形だけ。nonce word は「臨時に作った語」。
E20586,1,7,numerology,名詞,数秘術,the belief that numbers have a special influence on life,He explained his choice of date using numerology.,彼は数秘術を使って日取りの選び方を説明した。,占いの一種で科学ではない。天文学に対する astrology と似た位置づけ。
E20587,1,7,optimistically,副詞,楽観的に、明るい見通しで,in a way that expects good things to happen,She optimistically booked the venue before funding was approved.,彼女は資金承認前に楽観的に会場を予約した。,反対は pessimistically。結果的に甘かった判断を示す文脈も多い。
E20588,1,7,pairwise,副詞,二つずつ、対ごとに,"in pairs, comparing two things at a time",The samples were compared pairwise to find small differences.,細かな違いを見つけるため試料は二つずつ比較された。,統計や数学の専門語。形容詞でも pairwise comparison のように使う。
E20589,1,7,philosophic,形容詞,哲学の、達観した,"relating to philosophy, or calm about difficulties",He took the bad news in a philosophic mood.,彼は悪い知らせを達観した気分で受け止めた。,philosophical とほぼ同義だがやや古風。「動じない」の意味が日常では多い。
